event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_075,60.000,2.423
q1_075,62.974,3.500
face_025,74.385,2.013
q1_025,77.462,3.500
face_100,84.949,2.115
q1_100,87.769,3.500
face_000,91.987,1.654
q1_000,94.244,3.500
face_050,101.949,3.090
q1_050,106.077,3.500
prompt,111.167,5.000
face_025,116.167,2.269
q0_025,119.551,3.500
face_075,126.603,2.372
q0_075,130.372,3.500
face_100,142.872,3.449
q0_100,147.513,3.500
face_000,157.397,2.321
q0_000,160.577,3.500
face_050,170.244,2.731
q0_050,173.987,3.500
prompt,186.051,5.000
face_100,191.051,3.500
q1_100,196.026,3.500
face_050,200.897,2.936
q1_050,205.000,3.500
face_025,215.103,1.808
q1_025,217.538,3.500
face_075,228.513,1.859
q1_075,231.128,3.500
face_000,241.885,2.782
q1_000,245.654,3.500
prompt,254.667,5.000
face_000,259.667,2.987
q0_000,263.564,3.500
face_025,271.923,3.295
q0_025,276.436,3.500
face_100,284.577,1.705
q0_100,287.654,3.500
face_075,299.500,2.167
q0_075,302.551,3.500
face_050,308.295,2.679
q0_050,312.321,3.500
prompt,316.974,5.000
face_000,321.974,3.244
q1_000,325.795,3.500
face_100,332.192,1.603
q1_100,334.936,3.500
face_025,341.769,3.141
q1_025,346.359,3.500
face_050,353.628,3.192
q1_050,357.500,3.500
face_075,369.782,3.346
q1_075,373.962,3.500
prompt,381.885,5.000
face_050,386.885,1.910
q0_050,389.321,3.500
face_025,395.282,2.218
q0_025,398.769,3.500
face_075,409.090,3.038
q0_075,412.859,3.500
face_100,424.487,2.474
q0_100,427.923,3.500
face_000,432.359,2.885
q0_000,435.897,3.500
prompt,442.077,5.000
face_000,447.077,1.551
q0_000,449.949,3.500
face_025,456.564,1.962
q0_025,459.769,3.500
face_100,470.962,2.526
q0_100,474.577,3.500
face_075,485.115,1.756
q0_075,488.372,3.500
face_050,496.949,2.628
q0_050,500.385,3.500
prompt,504.385,5.000
face_000,509.385,2.064
q1_000,511.949,3.500
face_050,517.474,2.577
q1_050,520.987,3.500
face_100,530.218,3.397
q1_100,535.038,3.500
face_025,544.487,2.833
q1_025,548.615,3.500
face_075,553.923,1.500
q1_075,556.205,3.500
