event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_075,60.000,3.449
q1_075,64.538,3.500
face_025,75.513,1.756
q1_025,77.923,3.500
face_000,89.551,2.731
q1_000,93.603,3.500
face_100,102.397,3.295
q1_100,107.090,3.500
face_050,119.372,2.218
q1_050,122.705,3.500
prompt,130.628,5.000
face_000,135.628,1.551
q0_000,138.628,3.500
face_050,143.718,1.910
q0_050,146.333,3.500
face_075,155.564,3.346
q0_075,160.179,3.500
face_100,172.026,2.115
q0_100,175.385,3.500
face_025,185.705,2.885
q0_025,189.756,3.500
prompt,196.154,5.000
face_025,201.154,1.705
q1_025,204.000,3.500
face_100,212.141,2.269
q1_100,215.141,3.500
face_000,222.192,1.603
q1_000,224.295,3.500
face_075,232.872,2.167
q1_075,235.718,3.500
face_050,246.256,2.628
q1_050,249.462,3.500
prompt,259.564,5.000
face_100,264.564,3.397
q0_100,269.436,3.500
face_075,281.500,3.141
q0_075,285.526,3.500
face_000,298.026,2.423
q0_000,301.795,3.500
face_025,307.103,1.962
q0_025,310.436,3.500
face_050,317.269,2.064
q0_050,320.192,3.500
prompt,327.679,5.000
face_075,332.679,2.577
q1_075,336.218,3.500
face_000,340.218,2.833
q1_000,344.115,3.500
face_100,351.385,3.192
q1_100,355.103,3.500
face_050,359.538,3.090
q1_050,363.179,3.500
face_025,374.590,3.500
q1_025,378.718,3.500
prompt,389.474,5.000
face_100,394.474,3.244
q0_100,398.551,3.500
face_050,403.205,2.526
q0_050,406.538,3.500
face_075,412.064,2.372
q0_075,415.449,3.500
face_000,424.897,1.500
q0_000,427.436,3.500
face_025,436.449,1.859
q0_025,439.295,3.500
prompt,448.962,5.000
face_000,453.962,1.808
q0_000,457.269,3.500
face_025,463.449,2.013
q0_025,466.679,3.500
face_075,476.564,3.038
q0_075,481.026,3.500
face_050,488.731,1.654
q0_050,491.321,3.500
face_100,495.538,2.474
q0_100,498.769,3.500
prompt,504.513,5.000
face_075,509.513,2.987
q1_075,513.282,3.500
face_050,521.641,2.782
q1_050,525.615,3.500
face_025,531.577,2.936
q1_025,535.115,3.500
face_000,539.987,2.321
q1_000,543.218,3.500
face_100,554.410,2.679
q1_100,558.385,3.500
