event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_075,60.000,1.756
q1_075,62.282,3.500
face_025,69.551,1.500
q1_025,71.654,3.500
face_050,79.577,1.910
q1_050,82.603,3.500
face_000,92.269,1.808
q1_000,94.936,3.500
face_100,104.167,3.192
q1_100,108.423,3.500
prompt,119.397,5.000
face_025,124.397,3.244
q0_025,128.577,3.500
face_075,132.577,2.628
q0_075,136.500,3.500
face_100,146.603,2.833
q0_100,150.654,3.500
face_050,159.013,2.577
q0_050,162.731,3.500
face_000,172.615,1.654
q0_000,174.821,3.500
prompt,179.692,5.000
face_075,184.692,2.885
q1_075,188.231,3.500
face_050,200.295,3.090
q1_050,204.269,3.500
face_000,210.667,2.013
q1_000,214.154,3.500
face_025,218.808,3.397
q1_025,222.987,3.500
face_100,228.513,3.141
q1_100,232.923,3.500
prompt,239.756,5.000
face_025,244.756,1.603
q0_025,247.731,3.500
face_075,256.526,2.679
q0_075,259.936,3.500
face_000,264.154,2.987
q0_000,268.308,3.500
face_050,277.321,3.295
q0_050,281.372,3.500
face_100,293.000,3.500
q0_100,297.846,3.500
prompt,308.385,5.000
face_025,313.385,2.269
q1_025,316.282,3.500
face_075,322.244,2.321
q1_075,325.962,3.500
face_100,333.667,2.167
q1_100,337.026,3.500
face_050,342.115,1.705
q1_050,344.397,3.500
face_000,356.897,1.551
q1_000,359.154,3.500
prompt,363.590,5.000
face_025,368.590,1.962
q0_025,371.590,3.500
face_000,377.333,1.859
q0_000,380.026,3.500
face_075,391.436,2.936
q0_075,395.333,3.500
face_100,407.179,3.449
q0_100,411.308,3.500
face_050,423.590,3.346
q0_050,428.436,3.500
prompt,436.577,5.000
face_100,441.577,2.115
q1_100,445.115,3.500
face_025,456.308,3.038
q1_025,460.359,3.500
face_000,466.538,2.218
q1_000,470.205,3.500
face_075,477.256,2.782
q1_075,481.359,3.500
face_050,489.936,2.526
q1_050,493.449,3.500
prompt,500.064,5.000
face_050,505.064,2.474
q0_050,508.038,3.500
face_100,515.526,2.064
q0_100,518.833,3.500
face_000,529.590,2.731
q0_000,533.128,3.500
face_075,538.436,2.372
q0_075,541.718,3.500
face_025,552.038,2.423
q0_025,555.551,3.500
