event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,3.141
q1_050,64.179,3.500
face_075,72.756,3.038
q1_075,76.987,3.500
face_000,87.526,1.603
q1_000,90.141,3.500
face_025,99.808,1.962
q1_025,102.936,3.500
face_100,109.987,3.397
q1_100,114.218,3.500
prompt,122.141,5.000
face_025,127.141,2.628
q0_025,130.474,3.500
face_000,137.962,2.321
q0_000,141.397,3.500
face_075,145.833,1.654
q0_075,148.782,3.500
face_050,160.628,2.936
q0_050,164.218,3.500
face_100,174.538,2.526
q0_100,178.205,3.500
prompt,183.949,5.000
face_025,188.949,1.705
q0_025,192.000,3.500
face_050,201.231,2.833
q0_050,205.564,3.500
face_075,216.756,2.782
q0_075,220.090,3.500
face_000,226.269,1.756
q0_000,229.115,3.500
face_100,241.615,1.910
q0_100,244.590,3.500
prompt,250.115,5.000
face_025,255.115,1.859
q1_025,257.885,3.500
face_075,266.244,2.577
q1_075,269.551,3.500
face_100,280.308,3.346
q1_100,284.179,3.500
face_000,292.321,1.500
q1_000,294.705,3.500
face_050,301.321,3.449
q1_050,305.577,3.500
prompt,315.679,5.000
face_100,320.679,2.269
q1_100,324.372,3.500
face_000,335.782,2.423
q1_000,339.064,3.500
face_025,347.859,2.885
q1_025,352.013,3.500
face_050,359.282,3.500
q1_050,364.103,3.500
face_075,375.077,3.244
q1_075,379.538,3.500
prompt,389.423,5.000
face_050,394.423,2.372
q0_050,397.731,3.500
face_000,404.128,2.013
q0_000,407.615,3.500
face_075,411.615,2.474
q0_075,415.333,3.500
face_025,424.346,3.295
q0_025,428.269,3.500
face_100,439.897,2.731
q0_100,444.000,3.500
prompt,451.705,5.000
face_050,456.705,2.115
q0_050,459.321,3.500
face_100,464.410,2.064
q0_100,467.154,3.500
face_075,479.436,2.218
q0_075,482.256,3.500
face_025,487.564,1.808
q0_025,489.949,3.500
face_000,494.167,3.192
q0_000,498.115,3.500
prompt,510.179,5.000
face_075,515.179,3.090
q1_075,519.718,3.500
face_000,524.372,2.167
q1_000,527.526,3.500
face_100,532.397,2.987
q1_100,536.346,3.500
face_050,543.179,2.679
q1_050,547.256,3.500
face_025,556.705,1.551
q1_025,559.038,3.500
