event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,2.167
q0_050,63.000,3.500
face_025,74.192,1.654
q0_025,76.936,3.500
face_075,89.000,2.218
q0_075,91.872,3.500
face_000,100.449,2.269
q0_000,103.731,3.500
face_100,113.833,2.782
q0_100,118.013,3.500
prompt,125.064,5.000
face_100,130.064,1.910
q1_100,132.679,3.500
face_025,142.564,1.705
q1_025,145.538,3.500
face_000,158.038,2.064
q1_000,161.321,3.500
face_075,170.987,2.679
q1_075,174.808,3.500
face_050,186.654,2.731
q1_050,190.449,3.500
prompt,197.936,5.000
face_025,202.936,3.192
q1_025,207.577,3.500
face_100,216.590,1.962
q1_100,219.410,3.500
face_050,226.026,3.500
q1_050,230.949,3.500
face_000,241.923,2.987
q1_000,245.590,3.500
face_075,253.513,1.500
q1_075,255.590,3.500
prompt,261.115,5.000
face_050,266.115,2.013
q0_050,269.167,3.500
face_000,280.577,1.808
q0_000,283.013,3.500
face_075,288.756,2.372
q0_075,292.115,3.500
face_100,296.551,3.038
q0_100,300.885,3.500
face_025,309.026,3.346
q0_025,313.487,3.500
prompt,318.359,5.000
face_025,323.359,3.295
q0_025,327.974,3.500
face_100,335.679,1.551
q0_100,338.167,3.500
face_000,348.487,2.423
q0_000,351.641,3.500
face_050,356.731,2.474
q0_050,360.013,3.500
face_075,365.974,2.321
q0_075,369.795,3.500
prompt,379.026,5.000
face_050,384.026,3.090
q1_050,387.897,3.500
face_025,392.115,3.244
q1_025,396.551,3.500
face_075,408.179,3.449
q1_075,413.000,3.500
face_000,422.449,2.577
q1_000,425.551,3.500
face_100,432.821,2.885
q1_100,436.872,3.500
prompt,447.410,5.000
face_100,452.410,2.115
q1_100,455.128,3.500
face_050,461.526,2.833
q1_050,465.705,3.500
face_025,470.359,1.859
q1_025,472.718,3.500
face_000,479.551,1.756
q1_000,482.782,3.500
face_075,493.538,1.603
q1_075,496.103,3.500
prompt,501.410,5.000
face_000,506.410,3.141
q0_000,510.436,3.500
face_050,516.615,2.526
q0_050,519.897,3.500
face_100,523.897,3.397
q0_100,528.538,3.500
face_025,536.897,2.628
q0_025,540.077,3.500
face_075,552.359,2.936
q0_075,556.205,3.500
