event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_000,60.000,1.654
q1_000,63.051,3.500
face_100,69.231,1.859
q1_100,71.615,3.500
face_050,75.833,1.500
q1_050,78.321,3.500
face_025,90.385,2.885
q1_025,94.000,3.500
face_075,101.923,2.782
q1_075,105.923,3.500
prompt,115.154,5.000
face_100,120.154,3.090
q0_100,123.821,3.500
face_000,131.308,3.192
q0_000,135.051,3.500
face_025,143.846,2.936
q0_025,147.282,3.500
face_050,158.038,3.449
q0_050,162.859,3.500
face_075,172.308,2.167
q0_075,175.410,3.500
prompt,187.692,5.000
face_000,192.692,2.115
q1_000,195.821,3.500
face_075,205.487,2.269
q1_075,208.718,3.500
face_050,213.154,2.577
q1_050,217.077,3.500
face_100,224.128,2.731
q1_100,228.026,3.500
face_025,237.910,2.987
q1_025,242.038,3.500
prompt,246.910,5.000
face_025,251.910,1.910
q0_025,254.910,3.500
face_050,263.923,1.808
q0_050,266.590,3.500
face_000,274.295,2.423
q0_000,278.141,3.500
face_075,286.500,1.705
q0_075,289.474,3.500
face_100,296.090,3.295
q0_100,300.423,3.500
prompt,307.692,5.000
face_000,312.692,2.679
q1_000,316.128,3.500
face_075,328.628,1.756
q1_075,331.705,3.500
face_050,338.103,2.372
q1_050,341.667,3.500
face_025,353.077,2.628
q1_025,356.385,3.500
face_100,367.359,3.346
q1_100,371.538,3.500
prompt,381.641,5.000
face_100,386.641,2.474
q0_100,389.923,3.500
face_050,401.551,1.551
q0_050,403.705,3.500
face_025,411.846,2.526
q0_025,415.872,3.500
face_000,424.449,1.962
q0_000,427.064,3.500
face_075,432.372,2.833
q0_075,436.090,3.500
prompt,446.628,5.000
face_050,451.628,3.244
q1_050,456.167,3.500
face_100,461.910,3.397
q1_100,466.218,3.500
face_025,476.538,3.038
q1_025,481.026,3.500
face_000,492.218,2.321
q1_000,495.603,3.500
face_075,501.128,3.500
q1_075,506.103,3.500
prompt,511.192,5.000
face_050,516.192,2.218
q0_050,519.038,3.500
face_075,530.885,3.141
q0_075,534.808,3.500
face_000,540.769,1.603
q0_000,543.487,3.500
face_100,550.321,2.064
q0_100,553.628,3.500
face_025,557.628,2.013
q0_025,560.346,3.500
