event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_000,60.000,3.192
q0_000,64.462,3.500
face_075,71.295,3.295
q0_075,75.192,3.500
face_025,85.949,1.910
q0_025,89.308,3.500
face_100,97.885,2.321
q0_100,101.423,3.500
face_050,108.692,3.244
q0_050,112.744,3.500
prompt,118.269,5.000
face_100,123.269,3.090
q1_100,127.346,3.500
face_075,133.744,2.474
q1_075,137.359,3.500
face_050,147.026,1.705
q1_050,149.359,3.500
face_025,158.372,1.603
q1_025,161.218,3.500
face_000,169.577,3.141
q1_000,174.064,3.500
prompt,178.936,5.000
face_100,183.936,2.936
q0_100,188.192,3.500
face_050,195.244,1.859
q0_050,198.192,3.500
face_075,202.628,3.397
q0_075,206.885,3.500
face_025,218.295,1.551
q0_025,220.885,3.500
face_000,230.769,2.064
q0_000,233.487,3.500
prompt,239.667,5.000
face_000,244.667,3.346
q1_000,249.436,3.500
face_025,254.526,1.962
q1_025,257.679,3.500
face_100,268.218,2.679
q1_100,271.654,3.500
face_075,280.449,1.500
q1_075,283.064,3.500
face_050,293.167,3.038
q1_050,296.885,3.500
prompt,308.077,5.000
face_075,313.077,2.577
q0_075,316.615,3.500
face_025,326.064,2.423
q0_025,329.013,3.500
face_000,335.628,2.731
q0_000,339.244,3.500
face_050,351.744,1.654
q0_050,354.564,3.500
face_100,366.846,2.782
q0_100,371.103,3.500
prompt,375.321,5.000
face_000,380.321,2.218
q1_000,383.474,3.500
face_075,391.179,2.115
q1_075,394.026,3.500
face_100,403.256,3.449
q1_100,407.256,3.500
face_025,417.577,3.500
q1_025,422.449,3.500
face_050,429.936,2.269
q1_050,432.782,3.500
prompt,438.744,5.000
face_075,443.744,2.885
q0_075,447.462,3.500
face_050,452.769,2.628
q0_050,455.897,3.500
face_025,461.641,2.013
q0_025,464.564,3.500
face_100,475.538,1.756
q0_100,478.359,3.500
face_000,489.987,2.167
q0_000,493.167,3.500
prompt,505.013,5.000
face_025,510.013,2.372
q1_025,513.782,3.500
face_050,521.705,1.808
q1_050,524.808,3.500
face_000,529.462,2.526
q1_000,532.769,3.500
face_075,540.910,2.833
q1_075,545.244,3.500
face_100,557.308,2.987
q1_100,561.000,3.500
