event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_025,60.000,3.038
q1_025,63.769,3.500
face_050,68.205,2.115
q1_050,71.205,3.500
face_100,83.487,3.397
q1_100,88.103,3.500
face_075,95.590,1.500
q1_075,98.436,3.500
face_000,102.654,2.782
q1_000,106.500,3.500
prompt,112.462,5.000
face_050,117.462,2.936
q0_050,121.769,3.500
face_100,133.615,2.218
q0_100,137.000,3.500
face_075,147.103,2.987
q0_075,150.718,3.500
face_025,160.167,1.654
q0_025,162.833,3.500
face_000,173.154,3.192
q0_000,177.154,3.500
prompt,184.423,5.000
face_025,189.423,3.346
q1_025,193.885,3.500
face_075,202.026,2.628
q1_075,205.513,3.500
face_100,213.872,2.885
q1_100,217.436,3.500
face_000,223.615,2.064
q1_000,226.231,3.500
face_050,233.936,2.474
q1_050,237.731,3.500
prompt,248.923,5.000
face_075,253.923,2.167
q0_075,257.282,3.500
face_050,267.167,2.577
q0_050,271.038,3.500
face_025,280.051,1.603
q0_025,282.410,3.500
face_100,286.410,2.526
q0_100,290.359,3.500
face_000,297.410,1.859
q0_000,299.872,3.500
prompt,306.705,5.000
face_000,311.705,1.551
q1_000,314.218,3.500
face_025,318.872,2.013
q1_025,321.462,3.500
face_100,329.385,1.808
q1_100,332.436,3.500
face_050,342.974,1.705
q1_050,345.769,3.500
face_075,358.269,2.269
q1_075,361.526,3.500
prompt,370.756,5.000
face_100,375.756,2.321
q0_100,378.987,3.500
face_025,384.513,2.833
q0_025,388.615,3.500
face_050,394.359,2.423
q0_050,397.308,3.500
face_000,408.282,1.910
q0_000,411.231,3.500
face_075,417.628,3.449
q0_075,422.013,3.500
prompt,428.628,5.000
face_050,433.628,3.295
q0_050,437.423,3.500
face_025,446.000,3.141
q0_025,449.795,3.500
face_100,461.205,2.731
q0_100,464.769,3.500
face_075,475.526,3.244
q0_075,479.474,3.500
face_000,489.141,2.679
q0_000,493.269,3.500
prompt,498.359,5.000
face_050,503.359,3.500
q1_050,508.359,3.500
face_100,520.423,2.372
q1_100,523.577,3.500
face_000,535.205,3.090
q1_000,539.692,3.500
face_075,545.000,1.756
q1_075,547.897,3.500
face_025,556.692,1.962
q1_025,560.128,3.500
