event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_025,60.000,2.833
q1_025,64.333,3.500
face_100,69.641,2.423
q1_100,72.667,3.500
face_075,80.590,1.500
q1_075,82.974,3.500
face_000,89.590,2.577
q1_000,93.615,3.500
face_050,98.487,2.936
q1_050,102.462,3.500
prompt,107.551,5.000
face_075,112.551,2.218
q0_075,115.474,3.500
face_000,121.872,3.449
q0_000,126.590,3.500
face_025,137.782,2.167
q0_025,140.628,3.500
face_100,152.910,1.551
q0_100,155.808,3.500
face_050,161.333,2.526
q0_050,164.359,3.500
prompt,173.590,5.000
face_025,178.590,2.885
q1_025,182.410,3.500
face_050,193.167,1.910
q1_050,196.038,3.500
face_100,203.308,2.731
q1_100,206.821,3.500
face_000,212.564,1.859
q1_000,215.564,3.500
face_075,225.667,2.782
q1_075,229.513,3.500
prompt,233.513,5.000
face_100,238.513,2.321
q0_100,241.923,3.500
face_075,247.885,2.013
q0_075,250.756,3.500
face_000,257.808,2.628
q0_000,261.628,3.500
face_050,273.256,3.295
q0_050,277.564,3.500
face_025,285.051,2.679
q0_025,288.385,3.500
prompt,296.090,5.000
face_075,301.090,2.987
q1_075,304.833,3.500
face_100,314.500,3.346
q1_100,318.397,3.500
face_000,323.051,3.192
q1_000,326.974,3.500
face_025,333.808,2.269
q1_025,337.372,3.500
face_050,348.346,3.397
q1_050,352.372,3.500
prompt,362.256,5.000
face_025,367.256,2.372
q0_025,370.154,3.500
face_000,378.295,3.090
q0_000,382.551,3.500
face_100,392.000,1.808
q0_100,394.385,3.500
face_075,404.923,3.038
q0_075,408.872,3.500
face_050,420.936,3.141
q0_050,425.064,3.500
prompt,433.641,5.000
face_000,438.641,2.064
q0_000,441.923,3.500
face_025,450.282,2.474
q0_025,454.000,3.500
face_050,458.436,1.654
q0_050,461.462,3.500
face_100,473.962,1.756
q0_100,477.192,3.500
face_075,483.372,3.244
q0_075,488.038,3.500
prompt,499.449,5.000
face_050,504.449,1.962
q1_050,507.218,3.500
face_025,516.231,1.603
q1_025,518.667,3.500
face_075,528.987,3.500
q1_075,533.808,3.500
face_000,545.654,1.705
q1_000,548.474,3.500
face_100,552.692,2.115
q1_100,556.205,3.500
