event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,3.346
q0_050,64.179,3.500
face_025,76.026,2.679
q0_025,80.051,3.500
face_000,86.231,2.064
q0_000,89.026,3.500
face_100,96.077,2.474
q0_100,99.077,3.500
face_075,111.141,3.038
q0_075,115.141,3.500
prompt,119.141,5.000
face_075,124.141,2.321
q1_075,127.782,3.500
face_100,139.192,2.987
q1_100,142.859,3.500
face_025,153.615,3.141
q1_025,157.744,3.500
face_050,165.013,1.705
q1_050,168.013,3.500
face_000,172.231,1.551
q1_000,175.205,3.500
prompt,186.179,5.000
face_050,191.179,2.167
q0_050,194.231,3.500
face_075,202.590,3.500
q0_075,206.641,3.500
face_025,213.474,2.269
q0_025,217.115,3.500
face_100,221.769,1.808
q0_100,224.769,3.500
face_000,233.782,1.756
q0_000,236.628,3.500
prompt,244.769,5.000
face_000,249.769,2.885
q1_000,253.718,3.500
face_025,263.821,2.628
q1_025,267.026,3.500
face_075,273.641,2.782
q1_075,277.821,3.500
face_100,289.449,2.218
q1_100,293.167,3.500
face_050,302.833,2.115
q1_050,305.756,3.500
prompt,310.628,5.000
face_025,315.628,2.731
q0_025,318.962,3.500
face_075,324.705,2.372
q0_075,327.859,3.500
face_050,339.051,2.423
q0_050,342.692,3.500
face_000,353.231,1.500
q0_000,355.769,3.500
face_100,364.564,2.013
q0_100,367.205,3.500
prompt,375.128,5.000
face_025,380.128,2.936
q1_025,383.974,3.500
face_050,389.500,1.654
q1_050,392.090,3.500
face_000,397.179,1.910
q1_000,399.744,3.500
face_075,407.231,1.603
q1_075,410.103,3.500
face_100,422.385,3.397
q1_100,426.641,3.500
prompt,431.077,5.000
face_075,436.077,3.295
q0_075,440.128,3.500
face_050,450.013,3.449
q0_050,454.167,3.500
face_100,463.397,2.526
q0_100,466.423,3.500
face_000,475.000,1.962
q0_000,477.974,3.500
face_025,488.295,2.833
q0_025,492.603,3.500
prompt,497.910,5.000
face_050,502.910,3.192
q1_050,507.244,3.500
face_075,516.692,2.577
q1_075,520.436,3.500
face_025,526.833,1.859
q1_025,529.808,3.500
face_000,535.769,3.090
q1_000,540.103,3.500
face_100,547.808,3.244
q1_100,552.500,3.500
