event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_025,60.000,1.654
q1_025,62.744,3.500
face_100,71.321,2.013
q1_100,74.346,3.500
face_075,79.000,2.372
q1_075,82.077,3.500
face_000,87.603,1.756
q1_000,90.115,3.500
face_050,98.474,3.500
q1_050,102.603,3.500
prompt,112.923,5.000
face_075,117.923,2.064
q0_075,121.026,3.500
face_100,132.872,2.782
q0_100,136.564,3.500
face_000,148.192,2.936
q0_000,152.372,3.500
face_050,161.385,1.500
q0_050,164.308,3.500
face_025,170.269,1.808
q0_025,173.064,3.500
prompt,185.346,5.000
face_050,190.346,1.910
q1_050,192.936,3.500
face_000,203.692,2.731
q1_000,207.795,3.500
face_075,211.795,2.218
q1_075,214.897,3.500
face_025,220.641,1.962
q1_025,223.154,3.500
face_100,234.346,2.679
q1_100,237.756,3.500
prompt,245.244,5.000
face_025,250.244,2.577
q0_025,254.090,3.500
face_050,264.192,2.474
q0_050,268.013,3.500
face_100,280.077,2.526
q0_100,283.564,3.500
face_075,291.269,1.859
q0_075,293.910,3.500
face_000,299.000,3.346
q0_000,303.795,3.500
prompt,310.192,5.000
face_100,315.192,2.423
q1_100,318.269,3.500
face_025,330.769,3.449
q1_025,334.718,3.500
face_050,343.949,3.295
q1_050,348.436,3.500
face_075,359.846,3.141
q1_075,364.308,3.500
face_000,371.359,2.321
q1_000,374.974,3.500
prompt,381.154,5.000
face_075,386.154,3.244
q0_075,390.897,3.500
face_050,400.782,3.090
q0_050,404.474,3.500
face_000,411.308,2.628
q0_000,415.077,3.500
face_100,423.872,2.987
q0_100,428.077,3.500
face_025,432.295,2.885
q0_025,436.038,3.500
prompt,440.474,5.000
face_000,445.474,2.167
q1_000,449.115,3.500
face_100,454.423,1.603
q1_100,456.962,3.500
face_075,466.410,2.833
q1_075,470.641,3.500
face_025,478.782,1.551
q1_025,481.397,3.500
face_050,488.013,3.397
q1_050,492.244,3.500
prompt,502.782,5.000
face_075,507.782,2.115
q0_075,510.474,3.500
face_100,515.346,3.038
q0_100,519.500,3.500
face_000,530.474,3.192
q0_000,534.192,3.500
face_025,543.859,2.269
q0_025,546.936,3.500
face_050,554.205,1.705
q0_050,557.077,3.500
