event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,2.526
q0_050,63.385,3.500
face_100,73.051,2.679
q0_100,77.154,3.500
face_000,84.423,2.474
q0_000,87.526,3.500
face_025,100.026,3.090
q0_025,103.718,3.500
face_075,113.167,1.910
q0_075,116.167,3.500
prompt,120.167,5.000
face_000,125.167,3.397
q1_000,129.295,3.500
face_100,139.179,1.551
q1_100,141.795,3.500
face_025,148.628,3.295
q1_025,153.090,3.500
face_050,160.141,2.987
q1_050,164.474,3.500
face_075,172.833,1.962
q1_075,176.013,3.500
prompt,180.449,5.000
face_000,185.449,2.167
q0_000,188.372,3.500
face_100,193.679,2.833
q0_100,197.551,3.500
face_050,206.564,1.654
q0_050,209.692,3.500
face_075,216.308,2.372
q0_075,219.179,3.500
face_025,229.718,2.064
q0_025,232.487,3.500
prompt,240.410,5.000
face_075,245.410,2.321
q1_075,249.179,3.500
face_025,254.705,3.192
q1_025,258.859,3.500
face_050,266.564,2.731
q1_050,270.615,3.500
face_000,280.718,1.705
q1_000,283.205,3.500
face_100,294.397,3.449
q1_100,299.346,3.500
prompt,309.667,5.000
face_100,314.667,2.936
q1_100,318.513,3.500
face_000,327.744,3.141
q1_000,331.897,3.500
face_075,337.859,2.115
q1_075,341.244,3.500
face_050,350.038,2.269
q1_050,353.295,3.500
face_025,364.705,2.782
q1_025,368.372,3.500
prompt,374.551,5.000
face_100,379.551,3.500
q0_100,384.449,3.500
face_050,392.590,1.808
q0_050,395.513,3.500
face_025,400.385,3.038
q0_025,404.667,3.500
face_000,416.513,2.577
q0_000,419.615,3.500
face_075,431.679,3.244
q0_075,435.603,3.500
prompt,444.179,5.000
face_025,449.179,2.218
q1_025,452.769,3.500
face_050,463.744,2.423
q1_050,466.974,3.500
face_100,471.192,2.885
q1_100,475.218,3.500
face_000,485.974,1.603
q1_000,488.872,3.500
face_075,493.526,3.346
q1_075,497.808,3.500
prompt,504.205,5.000
face_000,509.205,2.013
q0_000,512.051,3.500
face_025,519.538,1.500
q0_025,521.615,3.500
face_050,527.359,1.756
q0_050,529.667,3.500
face_100,541.295,1.859
q0_100,543.808,3.500
face_075,548.897,2.628
q0_075,552.718,3.500
