event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_100,60.000,2.885
q1_100,63.513,3.500
face_000,68.385,2.372
q1_000,71.846,3.500
face_050,83.474,3.141
q1_050,87.526,3.500
face_025,98.718,1.808
q1_025,101.205,3.500
face_075,109.782,2.115
q1_075,112.705,3.500
prompt,120.846,5.000
face_100,125.846,1.654
q0_100,128.718,3.500
face_000,141.000,1.859
q0_000,143.718,3.500
face_075,150.769,1.603
q0_075,153.205,3.500
face_025,159.821,1.705
q0_025,162.897,3.500
face_050,170.821,2.423
q0_050,174.205,3.500
prompt,179.295,5.000
face_100,184.295,2.782
q0_100,187.577,3.500
face_075,198.333,2.731
q0_075,202.256,3.500
face_025,212.795,3.500
q0_025,216.821,3.500
face_000,222.564,3.090
q0_000,226.718,3.500
face_050,233.551,2.577
q0_050,237.449,3.500
prompt,241.667,5.000
face_025,246.667,2.167
q1_025,250.000,3.500
face_000,259.667,2.628
q1_000,263.538,3.500
face_100,270.808,3.346
q1_100,275.449,3.500
face_050,279.449,2.321
q1_050,282.321,3.500
face_075,287.846,3.038
q1_075,292.333,3.500
prompt,304.833,5.000
face_000,309.833,1.500
q0_000,311.936,3.500
face_050,320.731,2.064
q0_050,324.269,3.500
face_075,330.449,3.397
q0_075,334.885,3.500
face_025,340.192,1.962
q0_025,342.885,3.500
face_100,348.846,2.269
q0_100,351.821,3.500
prompt,360.179,5.000
face_075,365.179,2.679
q1_075,368.795,3.500
face_100,376.500,3.295
q1_100,380.449,3.500
face_025,385.103,3.244
q1_025,389.487,3.500
face_050,398.500,2.936
q1_050,402.013,3.500
face_000,412.333,2.526
q1_000,415.872,3.500
prompt,427.936,5.000
face_000,432.936,1.551
q1_000,435.756,3.500
face_050,445.205,1.910
q1_050,448.231,3.500
face_100,459.641,2.013
q1_100,462.641,3.500
face_025,470.128,2.833
q1_025,473.846,3.500
face_075,483.731,1.756
q1_075,486.833,3.500
prompt,493.231,5.000
face_025,498.231,2.987
q0_025,502.718,3.500
face_075,513.692,3.449
q0_075,517.923,3.500
face_000,527.154,2.474
q0_000,531.026,3.500
face_050,541.128,3.192
q0_050,545.077,3.500
face_100,556.923,2.218
q0_100,560.564,3.500
