-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     2.25
  0 (direct)     15.45     4.00     6.50
  1 (profile)    25.95     4.00     1.00
  0 (direct)     30.95     4.00     5.00
  1 (profile)    39.95     4.00     1.75
  0 (direct)     45.70     4.00     3.00
  1 (profile)    52.70     4.00     3.50
  1 (profile)    60.20     4.00     2.50
  0 (direct)     66.70     4.00     6.75
  0 (direct)     77.45     4.00     1.25
  1 (profile)    82.70     4.00     1.75
  2 (control)    88.45     4.00     4.75
  2 (control)    97.20     4.00     3.50
  1 (profile)   104.70     4.00     4.25
  2 (control)   112.95     4.00     7.00
  2 (control)   123.95     4.00     4.50
  1 (profile)   132.45     4.00     1.00
  1 (profile)   137.45     4.00     1.50
  2 (control)   142.95     4.00     3.75
  0 (direct)    150.70     4.00     6.50
  2 (control)   161.20     4.00     5.50
  0 (direct)    170.70     4.00     3.25
  0 (direct)    177.95     4.00     7.00
  0 (direct)    188.95     4.00     2.25
  1 (profile)   195.20     4.00     6.25
  2 (control)   205.45     4.00     5.50
  2 (control)   214.95     4.00     5.75
  2 (control)   224.70     4.00     2.75
  0 (direct)    231.45     4.00     5.75
  0 (direct)    241.20     4.00     2.50
  2 (control)   247.70     4.00     1.25
  2 (control)   252.95     4.00     6.75
  1 (profile)   263.70     4.00     3.75
  0 (direct)    271.45     4.00     5.25
  1 (profile)   280.70     4.00     2.75
  1 (profile)   287.45     4.00     5.00
  1 (profile)   296.45     4.00     5.25
  2 (control)   305.70     4.00     3.00
  0 (direct)    312.70     4.00     1.50
  2 (control)   318.20     4.00     4.50
  2 (control)   326.70     4.00     6.25
  1 (profile)   336.95     4.00     4.25
  1 (profile)   345.20     4.00     6.00
  0 (direct)    355.20     4.00     2.00
  0 (direct)    361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     5.75
  1 (profile)    18.95     4.00     3.50
  1 (profile)    26.45     4.00     1.75
  0 (direct)     32.20     4.00     6.25
  1 (profile)    42.45     4.00     2.75
  1 (profile)    49.20     4.00     1.00
  1 (profile)    54.20     4.00     1.25
  0 (direct)     59.45     4.00     3.00
  2 (control)    66.45     4.00     5.25
  0 (direct)     75.70     4.00     4.50
  2 (control)    84.20     4.00     1.75
  0 (direct)     89.95     4.00     3.50
  0 (direct)     97.45     4.00     1.25
  1 (profile)   102.70     4.00     1.50
  2 (control)   108.20     4.00     6.75
  1 (profile)   118.95     4.00     6.75
  2 (control)   129.70     4.00     4.75
  2 (control)   138.45     4.00     3.25
  0 (direct)    145.70     4.00     7.00
  0 (direct)    156.70     4.00     6.00
  1 (profile)   166.70     4.00     5.50
  1 (profile)   176.20     4.00     5.50
  2 (control)   185.70     4.00     4.25
  1 (profile)   193.95     4.00     2.75
  2 (control)   200.70     4.00     6.25
  0 (direct)    210.95     4.00     3.00
  2 (control)   217.95     4.00     7.00
  2 (control)   228.95     4.00     6.50
  2 (control)   239.45     4.00     5.25
  0 (direct)    248.70     4.00     3.75
  1 (profile)   256.45     4.00     1.50
  1 (profile)   261.95     4.00     2.50
  0 (direct)    268.45     4.00     2.50
  1 (profile)   274.95     4.00     2.25
  0 (direct)    281.20     4.00     5.00
  0 (direct)    290.20     4.00     5.00
  2 (control)   299.20     4.00     2.00
  0 (direct)    305.20     4.00     6.50
  1 (profile)   315.70     4.00     1.00
  2 (control)   320.70     4.00     2.25
  0 (direct)    326.95     4.00     4.25
  2 (control)   335.20     4.00     3.75
  1 (profile)   342.95     4.00     5.75
  2 (control)   352.70     4.00     4.50
  0 (direct)    361.20     4.00     0.00

