-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     1.25
  1 (profile)    14.45     4.00     1.00
  2 (control)    19.45     4.00     3.00
  2 (control)    26.45     4.00     2.50
  0 (direct)     32.95     4.00     1.75
  0 (direct)     38.70     4.00     6.00
  1 (profile)    48.70     4.00     5.00
  1 (profile)    57.70     4.00     2.25
  1 (profile)    63.95     4.00     5.25
  2 (control)    73.20     4.00     6.25
  0 (direct)     83.45     4.00     4.25
  2 (control)    91.70     4.00     3.50
  0 (direct)     99.20     4.00     7.00
  0 (direct)    110.20     4.00     5.75
  2 (control)   119.95     4.00     4.50
  1 (profile)   128.45     4.00     1.50
  2 (control)   133.95     4.00     6.25
  0 (direct)    144.20     4.00     2.25
  2 (control)   150.45     4.00     6.75
  0 (direct)    161.20     4.00     5.75
  0 (direct)    170.95     4.00     2.00
  0 (direct)    176.95     4.00     1.50
  2 (control)   182.45     4.00     5.50
  0 (direct)    191.95     4.00     3.50
  2 (control)   199.45     4.00     6.50
  1 (profile)   209.95     4.00     2.75
  2 (control)   216.70     4.00     5.00
  1 (profile)   225.70     4.00     1.00
  1 (profile)   230.70     4.00     1.75
  0 (direct)    236.45     4.00     5.25
  0 (direct)    245.70     4.00     5.50
  1 (profile)   255.20     4.00     2.75
  1 (profile)   261.95     4.00     4.75
  1 (profile)   270.70     4.00     1.25
  0 (direct)    275.95     4.00     7.00
  0 (direct)    286.95     4.00     3.00
  2 (control)   293.95     4.00     3.75
  2 (control)   301.70     4.00     3.75
  1 (profile)   309.45     4.00     3.25
  1 (profile)   316.70     4.00     4.50
  1 (profile)   325.20     4.00     4.25
  2 (control)   333.45     4.00     6.50
  2 (control)   343.95     4.00     6.75
  2 (control)   354.70     4.00     2.50
  0 (direct)    361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     2.00
  1 (profile)    15.20     4.00     1.75
  0 (direct)     20.95     4.00     3.75
  1 (profile)    28.70     4.00     4.50
  2 (control)    37.20     4.00     5.00
  0 (direct)     46.20     4.00     4.50
  2 (control)    54.70     4.00     2.75
  1 (profile)    61.45     4.00     6.00
  2 (control)    71.45     4.00     1.25
  1 (profile)    76.70     4.00     5.75
  1 (profile)    86.45     4.00     5.50
  0 (direct)     95.95     4.00     5.75
  0 (direct)    105.70     4.00     3.50
  1 (profile)   113.20     4.00     3.75
  1 (profile)   120.95     4.00     3.00
  1 (profile)   127.95     4.00     7.00
  2 (control)   138.95     4.00     6.25
  0 (direct)    149.20     4.00     1.00
  0 (direct)    154.20     4.00     2.50
  1 (profile)   160.70     4.00     4.25
  2 (control)   168.95     4.00     2.25
  2 (control)   175.20     4.00     5.00
  2 (control)   184.20     4.00     1.75
  0 (direct)    189.95     4.00     1.00
  2 (control)   194.95     4.00     2.25
  1 (profile)   201.20     4.00     5.50
  0 (direct)    210.70     4.00     6.75
  1 (profile)   221.45     4.00     5.25
  2 (control)   230.70     4.00     1.25
  1 (profile)   235.95     4.00     4.75
  0 (direct)    244.70     4.00     2.50
  1 (profile)   251.20     4.00     3.00
  2 (control)   258.20     4.00     6.25
  0 (direct)    268.45     4.00     5.25
  2 (control)   277.70     4.00     7.00
  0 (direct)    288.70     4.00     1.50
  1 (profile)   294.20     4.00     3.25
  2 (control)   301.45     4.00     1.50
  2 (control)   306.95     4.00     4.25
  0 (direct)    315.20     4.00     6.50
  0 (direct)    325.70     4.00     6.75
  0 (direct)    336.45     4.00     3.50
  2 (control)   343.95     4.00     6.50
  1 (profile)   354.45     4.00     2.75
  2 (control)   361.20     4.00     0.00

