-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     3.00
  2 (control)    16.20     4.00     2.00
  1 (profile)    22.20     4.00     7.00
  2 (control)    33.20     4.00     1.75
  0 (direct)     38.95     4.00     2.75
  0 (direct)     45.70     4.00     6.50
  1 (profile)    56.20     4.00     5.25
  1 (profile)    65.45     4.00     2.25
  2 (control)    71.70     4.00     4.25
  2 (control)    79.95     4.00     5.25
  1 (profile)    89.20     4.00     2.50
  1 (profile)    95.70     4.00     3.50
  0 (direct)    103.20     4.00     1.50
  0 (direct)    108.70     4.00     6.75
  0 (direct)    119.45     4.00     6.00
  1 (profile)   129.45     4.00     2.25
  0 (direct)    135.70     4.00     5.75
  0 (direct)    145.45     4.00     6.25
  2 (control)   155.70     4.00     5.50
  1 (profile)   165.20     4.00     3.50
  0 (direct)    172.70     4.00     1.25
  0 (direct)    177.95     4.00     4.50
  1 (profile)   186.45     4.00     6.50
  1 (profile)   196.95     4.00     6.25
  2 (control)   207.20     4.00     3.00
  2 (control)   214.20     4.00     2.50
  2 (control)   220.70     4.00     1.50
  1 (profile)   226.20     4.00     1.00
  1 (profile)   231.20     4.00     3.25
  1 (profile)   238.45     4.00     5.75
  0 (direct)    248.20     4.00     1.25
  1 (profile)   253.45     4.00     2.75
  1 (profile)   260.20     4.00     4.75
  2 (control)   268.95     4.00     3.75
  0 (direct)    276.70     4.00     1.75
  2 (control)   282.45     4.00     3.75
  0 (direct)    290.20     4.00     5.00
  2 (control)   299.20     4.00     5.00
  2 (control)   308.20     4.00     5.50
  2 (control)   317.70     4.00     4.25
  0 (direct)    325.95     4.00     4.50
  2 (control)   334.45     4.00     7.00
  0 (direct)    345.45     4.00     6.75
  0 (direct)    356.20     4.00     1.00
  2 (control)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     3.50
  2 (control)    16.70     4.00     5.00
  0 (direct)     25.70     4.00     3.00
  1 (profile)    32.70     4.00     2.25
  1 (profile)    38.95     4.00     2.75
  0 (direct)     45.70     4.00     2.50
  0 (direct)     52.20     4.00     4.50
  1 (profile)    60.70     4.00     2.00
  2 (control)    66.70     4.00     5.25
  2 (control)    75.95     4.00     2.75
  0 (direct)     82.70     4.00     7.00
  2 (control)    93.70     4.00     4.75
  2 (control)   102.45     4.00     4.50
  0 (direct)    110.95     4.00     6.00
  0 (direct)    120.95     4.00     2.25
  1 (profile)   127.20     4.00     3.00
  1 (profile)   134.20     4.00     6.25
  1 (profile)   144.45     4.00     6.75
  0 (direct)    155.20     4.00     3.75
  0 (direct)    162.95     4.00     5.75
  1 (profile)   172.70     4.00     6.50
  2 (control)   183.20     4.00     5.00
  2 (control)   192.20     4.00     5.25
  1 (profile)   201.45     4.00     4.25
  1 (profile)   209.70     4.00     4.25
  2 (control)   217.95     4.00     5.75
  0 (direct)    227.70     4.00     1.00
  2 (control)   232.70     4.00     6.50
  2 (control)   243.20     4.00     3.25
  2 (control)   250.45     4.00     1.75
  1 (profile)   256.20     4.00     3.75
  0 (direct)    263.95     4.00     1.50
  0 (direct)    269.45     4.00     1.25
  1 (profile)   274.70     4.00     1.25
  0 (direct)    279.95     4.00     7.00
  2 (control)   290.95     4.00     6.75
  1 (profile)   301.70     4.00     5.50
  1 (profile)   311.20     4.00     5.50
  0 (direct)    320.70     4.00     1.75
  1 (profile)   326.45     4.00     1.00
  1 (profile)   331.45     4.00     2.50
  0 (direct)    337.95     4.00     3.50
  2 (control)   345.45     4.00     6.25
  0 (direct)    355.70     4.00     1.50
  2 (control)   361.20     4.00     0.00

