-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     4.50
  1 (profile)    17.70     4.00     1.00
  1 (profile)    22.70     4.00     2.75
  0 (direct)     29.45     4.00     3.00
  2 (control)    36.45     4.00     7.00
  0 (direct)     47.45     4.00     5.25
  2 (control)    56.70     4.00     1.75
  2 (control)    62.45     4.00     3.25
  1 (profile)    69.70     4.00     7.00
  2 (control)    80.70     4.00     1.50
  0 (direct)     86.20     4.00     2.75
  0 (direct)     92.95     4.00     4.25
  2 (control)   101.20     4.00     5.75
  0 (direct)    110.95     4.00     6.75
  2 (control)   121.70     4.00     5.00
  1 (profile)   130.70     4.00     5.75
  2 (control)   140.45     4.00     2.00
  1 (profile)   146.45     4.00     5.50
  2 (control)   155.95     4.00     4.25
  1 (profile)   164.20     4.00     6.75
  2 (control)   174.95     4.00     6.00
  1 (profile)   184.95     4.00     5.25
  0 (direct)    194.20     4.00     6.25
  1 (profile)   204.45     4.00     1.25
  0 (direct)    209.70     4.00     4.50
  2 (control)   218.20     4.00     3.50
  1 (profile)   225.70     4.00     3.75
  1 (profile)   233.45     4.00     2.50
  0 (direct)    239.95     4.00     6.25
  1 (profile)   250.20     4.00     3.00
  0 (direct)    257.20     4.00     6.50
  2 (control)   267.70     4.00     1.75
  2 (control)   273.45     4.00     2.25
  2 (control)   279.70     4.00     6.50
  0 (direct)    290.20     4.00     1.50
  0 (direct)    295.70     4.00     3.50
  0 (direct)    303.20     4.00     2.50
  1 (profile)   309.70     4.00     2.25
  1 (profile)   315.95     4.00     5.00
  1 (profile)   324.95     4.00     3.75
  0 (direct)    332.70     4.00     5.50
  0 (direct)    342.20     4.00     1.00
  0 (direct)    347.20     4.00     1.25
  2 (control)   352.45     4.00     4.75
  1 (profile)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     1.00
  2 (control)    14.20     4.00     1.75
  0 (direct)     19.95     4.00     5.25
  1 (profile)    29.20     4.00     3.50
  1 (profile)    36.70     4.00     6.00
  0 (direct)     46.70     4.00     5.75
  0 (direct)     56.45     4.00     5.00
  2 (control)    65.45     4.00     2.00
  0 (direct)     71.45     4.00     5.75
  0 (direct)     81.20     4.00     5.00
  1 (profile)    90.20     4.00     2.25
  0 (direct)     96.45     4.00     4.50
  1 (profile)   104.95     4.00     3.75
  1 (profile)   112.70     4.00     7.00
  2 (control)   123.70     4.00     3.50
  2 (control)   131.20     4.00     6.25
  2 (control)   141.45     4.00     1.25
  1 (profile)   146.70     4.00     2.50
  1 (profile)   153.20     4.00     7.00
  2 (control)   164.20     4.00     6.50
  1 (profile)   174.70     4.00     5.25
  0 (direct)    183.95     4.00     6.50
  0 (direct)    194.45     4.00     2.75
  0 (direct)    201.20     4.00     2.75
  2 (control)   207.95     4.00     2.50
  0 (direct)    214.45     4.00     5.50
  1 (profile)   223.95     4.00     3.25
  0 (direct)    231.20     4.00     4.25
  0 (direct)    239.45     4.00     6.75
  1 (profile)   250.20     4.00     3.00
  1 (profile)   257.20     4.00     6.25
  2 (control)   267.45     4.00     1.50
  2 (control)   272.95     4.00     3.75
  1 (profile)   280.70     4.00     1.50
  2 (control)   286.20     4.00     1.00
  2 (control)   291.20     4.00     5.50
  0 (direct)    300.70     4.00     1.75
  2 (control)   306.45     4.00     6.75
  2 (control)   317.20     4.00     4.25
  1 (profile)   325.45     4.00     4.75
  1 (profile)   334.20     4.00     2.25
  0 (direct)    340.45     4.00     4.50
  2 (control)   348.95     4.00     3.00
  1 (profile)   355.95     4.00     1.25
  2 (control)   361.20     4.00     0.00

