-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     3.50
  0 (direct)     16.70     4.00     1.50
  1 (profile)    22.20     4.00     1.00
  2 (control)    27.20     4.00     3.25
  0 (direct)     34.45     4.00     5.50
  2 (control)    43.95     4.00     5.25
  1 (profile)    53.20     4.00     1.25
  1 (profile)    58.45     4.00     7.00
  2 (control)    69.45     4.00     6.25
  0 (direct)     79.70     4.00     2.50
  2 (control)    86.20     4.00     3.75
  0 (direct)     93.95     4.00     6.75
  1 (profile)   104.70     4.00     6.50
  1 (profile)   115.20     4.00     3.00
  0 (direct)    122.20     4.00     6.00
  0 (direct)    132.20     4.00     5.75
  0 (direct)    141.95     4.00     1.75
  2 (control)   147.70     4.00     5.75
  2 (control)   157.45     4.00     5.25
  1 (profile)   166.70     4.00     4.25
  2 (control)   174.95     4.00     5.50
  1 (profile)   184.45     4.00     2.25
  2 (control)   190.70     4.00     5.00
  1 (profile)   199.70     4.00     3.00
  0 (direct)    206.70     4.00     3.50
  0 (direct)    214.20     4.00     1.50
  1 (profile)   219.70     4.00     2.75
  0 (direct)    226.45     4.00     2.25
  2 (control)   232.70     4.00     2.75
  2 (control)   239.45     4.00     4.50
  0 (direct)    247.95     4.00     3.75
  1 (profile)   255.70     4.00     5.00
  2 (control)   264.70     4.00     4.75
  1 (profile)   273.45     4.00     6.25
  2 (control)   283.70     4.00     4.50
  2 (control)   292.20     4.00     2.00
  1 (profile)   298.20     4.00     6.50
  1 (profile)   308.70     4.00     4.25
  1 (profile)   316.95     4.00     1.25
  2 (control)   322.20     4.00     7.00
  0 (direct)    333.20     4.00     1.00
  1 (profile)   338.20     4.00     2.50
  2 (control)   344.70     4.00     1.75
  0 (direct)    350.45     4.00     6.75
  0 (direct)    361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     6.25
  1 (profile)    19.45     4.00     5.00
  0 (direct)     28.45     4.00     5.50
  0 (direct)     37.95     4.00     1.25
  0 (direct)     43.20     4.00     3.00
  1 (profile)    50.20     4.00     2.75
  0 (direct)     56.95     4.00     1.00
  1 (profile)    61.95     4.00     3.00
  2 (control)    68.95     4.00     3.75
  1 (profile)    76.70     4.00     3.50
  0 (direct)     84.20     4.00     5.75
  0 (direct)     93.95     4.00     6.50
  1 (profile)   104.45     4.00     6.75
  2 (control)   115.20     4.00     4.25
  1 (profile)   123.45     4.00     1.50
  2 (control)   128.95     4.00     5.75
  0 (direct)    138.70     4.00     2.00
  2 (control)   144.70     4.00     2.25
  2 (control)   150.95     4.00     6.50
  1 (profile)   161.45     4.00     5.50
  2 (control)   170.95     4.00     6.00
  0 (direct)    180.95     4.00     2.50
  1 (profile)   187.45     4.00     2.25
  1 (profile)   193.70     4.00     1.75
  0 (direct)    199.45     4.00     6.75
  0 (direct)    210.20     4.00     5.25
  2 (control)   219.45     4.00     4.25
  1 (profile)   227.70     4.00     2.50
  0 (direct)    234.20     4.00     1.50
  0 (direct)    239.70     4.00     1.25
  2 (control)   244.95     4.00     5.25
  1 (profile)   254.20     4.00     4.50
  1 (profile)   262.70     4.00     2.75
  2 (control)   269.45     4.00     5.00
  2 (control)   278.45     4.00     4.75
  2 (control)   287.20     4.00     3.75
  0 (direct)    294.95     4.00     4.50
  2 (control)   303.45     4.00     1.00
  2 (control)   308.45     4.00     3.50
  1 (profile)   315.95     4.00     6.25
  0 (direct)    326.20     4.00     1.75
  0 (direct)    331.95     4.00     7.00
  2 (control)   342.95     4.00     3.25
  1 (profile)   350.20     4.00     7.00
  1 (profile)   361.20     4.00     0.00

