-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     3.25
  0 (direct)     16.45     4.00     4.50
  1 (profile)    24.95     4.00     3.75
  0 (direct)     32.70     4.00     2.25
  1 (profile)    38.95     4.00     5.75
  1 (profile)    48.70     4.00     2.75
  2 (control)    55.45     4.00     1.75
  0 (direct)     61.20     4.00     5.50
  2 (control)    70.70     4.00     3.00
  2 (control)    77.70     4.00     6.25
  2 (control)    87.95     4.00     5.00
  0 (direct)     96.95     4.00     6.50
  1 (profile)   107.45     4.00     6.25
  2 (control)   117.70     4.00     2.50
  1 (profile)   124.20     4.00     4.25
  1 (profile)   132.45     4.00     2.75
  1 (profile)   139.20     4.00     7.00
  2 (control)   150.20     4.00     3.50
  0 (direct)    157.70     4.00     6.50
  0 (direct)    168.20     4.00     4.25
  0 (direct)    176.45     4.00     5.25
  2 (control)   185.70     4.00     4.75
  2 (control)   194.45     4.00     6.75
  2 (control)   205.20     4.00     1.25
  1 (profile)   210.45     4.00     3.00
  0 (direct)    217.45     4.00     5.00
  1 (profile)   226.45     4.00     6.00
  0 (direct)    236.45     4.00     1.75
  0 (direct)    242.20     4.00     1.00
  1 (profile)   247.20     4.00     1.00
  1 (profile)   252.20     4.00     7.00
  2 (control)   263.20     4.00     2.50
  1 (profile)   269.70     4.00     3.50
  1 (profile)   277.20     4.00     6.75
  0 (direct)    287.95     4.00     2.25
  0 (direct)    294.20     4.00     4.50
  2 (control)   302.70     4.00     1.50
  2 (control)   308.20     4.00     2.00
  0 (direct)    314.20     4.00     3.75
  0 (direct)    321.95     4.00     5.75
  1 (profile)   331.70     4.00     1.25
  0 (direct)    336.95     4.00     1.50
  2 (control)   342.45     4.00     5.50
  2 (control)   351.95     4.00     5.25
  1 (profile)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     1.50
  1 (profile)    14.70     4.00     6.00
  2 (control)    24.70     4.00     6.75
  0 (direct)     35.45     4.00     2.50
  2 (control)    41.95     4.00     1.00
  2 (control)    46.95     4.00     2.00
  2 (control)    52.95     4.00     6.75
  1 (profile)    63.70     4.00     3.25
  2 (control)    70.95     4.00     2.25
  2 (control)    77.20     4.00     7.00
  0 (direct)     88.20     4.00     5.25
  0 (direct)     97.45     4.00     3.75
  1 (profile)   105.20     4.00     3.00
  0 (direct)    112.20     4.00     1.75
  1 (profile)   117.95     4.00     4.50
  2 (control)   126.45     4.00     5.00
  1 (profile)   135.45     4.00     6.25
  0 (direct)    145.70     4.00     5.75
  0 (direct)    155.45     4.00     4.75
  1 (profile)   164.20     4.00     3.50
  0 (direct)    171.70     4.00     5.75
  1 (profile)   181.45     4.00     4.50
  0 (direct)    189.95     4.00     1.25
  1 (profile)   195.20     4.00     1.50
  0 (direct)    200.70     4.00     4.25
  0 (direct)    208.95     4.00     5.25
  0 (direct)    218.20     4.00     5.50
  2 (control)   227.70     4.00     5.00
  2 (control)   236.70     4.00     5.50
  2 (control)   246.20     4.00     7.00
  1 (profile)   257.20     4.00     6.50
  1 (profile)   267.70     4.00     3.50
  0 (direct)    275.20     4.00     1.25
  2 (control)   280.45     4.00     2.25
  0 (direct)    286.70     4.00     1.00
  1 (profile)   291.70     4.00     3.75
  2 (control)   299.45     4.00     1.75
  1 (profile)   305.20     4.00     4.25
  1 (profile)   313.45     4.00     2.50
  2 (control)   319.95     4.00     2.75
  0 (direct)    326.70     4.00     2.75
  2 (control)   333.45     4.00     6.25
  2 (control)   343.70     4.00     3.00
  0 (direct)    350.70     4.00     6.50
  1 (profile)   361.20     4.00     0.00

