-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     3.50
  0 (direct)     16.70     4.00     1.25
  2 (control)    21.95     4.00     1.75
  2 (control)    27.70     4.00     5.00
  1 (profile)    36.70     4.00     3.00
  2 (control)    43.70     4.00     4.25
  1 (profile)    51.95     4.00     5.25
  1 (profile)    61.20     4.00     4.50
  2 (control)    69.70     4.00     6.50
  0 (direct)     80.20     4.00     3.00
  2 (control)    87.20     4.00     6.25
  2 (control)    97.45     4.00     1.00
  1 (profile)   102.45     4.00     5.00
  2 (control)   111.45     4.00     2.50
  0 (direct)    117.95     4.00     5.75
  0 (direct)    127.70     4.00     1.75
  2 (control)   133.45     4.00     2.50
  0 (direct)    139.95     4.00     2.25
  1 (profile)   146.20     4.00     1.00
  2 (control)   151.20     4.00     1.50
  2 (control)   156.70     4.00     6.75
  1 (profile)   167.45     4.00     4.50
  1 (profile)   175.95     4.00     4.75
  2 (control)   184.70     4.00     7.00
  1 (profile)   195.70     4.00     2.25
  0 (direct)    201.95     4.00     6.00
  2 (control)   211.95     4.00     5.25
  0 (direct)    221.20     4.00     5.50
  0 (direct)    230.70     4.00     1.25
  0 (direct)    235.95     4.00     2.00
  2 (control)   241.95     4.00     2.75
  2 (control)   248.70     4.00     2.75
  1 (profile)   255.45     4.00     3.75
  1 (profile)   263.20     4.00     3.75
  0 (direct)    270.95     4.00     5.50
  0 (direct)    280.45     4.00     6.75
  1 (profile)   291.20     4.00     6.25
  0 (direct)    301.45     4.00     3.25
  1 (profile)   308.70     4.00     1.50
  1 (profile)   314.20     4.00     3.50
  1 (profile)   321.70     4.00     6.50
  0 (direct)    332.20     4.00     4.25
  0 (direct)    340.45     4.00     5.75
  2 (control)   350.20     4.00     7.00
  1 (profile)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     1.25
  0 (direct)     14.45     4.00     2.75
  1 (profile)    21.20     4.00     3.50
  0 (direct)     28.70     4.00     5.75
  2 (control)    38.45     4.00     1.50
  2 (control)    43.95     4.00     3.25
  2 (control)    51.20     4.00     5.50
  1 (profile)    60.70     4.00     4.75
  1 (profile)    69.45     4.00     3.75
  1 (profile)    77.20     4.00     6.25
  0 (direct)     87.45     4.00     2.25
  1 (profile)    93.70     4.00     4.50
  0 (direct)    102.20     4.00     5.25
  0 (direct)    111.45     4.00     2.25
  2 (control)   117.70     4.00     1.00
  2 (control)   122.70     4.00     6.50
  1 (profile)   133.20     4.00     3.75
  0 (direct)    140.95     4.00     2.75
  2 (control)   147.70     4.00     7.00
  1 (profile)   158.70     4.00     5.50
  0 (direct)    168.20     4.00     2.50
  2 (control)   174.70     4.00     4.25
  1 (profile)   182.95     4.00     3.50
  2 (control)   190.45     4.00     1.50
  2 (control)   195.95     4.00     7.00
  0 (direct)    206.95     4.00     1.75
  0 (direct)    212.70     4.00     6.25
  2 (control)   222.95     4.00     2.50
  2 (control)   229.45     4.00     1.75
  1 (profile)   235.20     4.00     5.25
  0 (direct)    244.45     4.00     6.00
  0 (direct)    254.45     4.00     5.00
  1 (profile)   263.45     4.00     6.75
  0 (direct)    274.20     4.00     5.00
  2 (control)   283.20     4.00     3.00
  2 (control)   290.20     4.00     4.50
  0 (direct)    298.70     4.00     1.25
  1 (profile)   303.95     4.00     1.00
  1 (profile)   308.95     4.00     5.75
  1 (profile)   318.70     4.00     4.25
  2 (control)   326.95     4.00     2.00
  0 (direct)    332.95     4.00     3.00
  2 (control)   339.95     4.00     6.75
  1 (profile)   350.70     4.00     6.50
  1 (profile)   361.20     4.00     0.00

