-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     3.50
  0 (direct)     16.70     4.00     4.75
  1 (profile)    25.45     4.00     6.50
  2 (control)    35.95     4.00     4.50
  2 (control)    44.45     4.00     3.75
  0 (direct)     52.20     4.00     5.25
  0 (direct)     61.45     4.00     7.00
  2 (control)    72.45     4.00     5.00
  2 (control)    81.45     4.00     1.75
  2 (control)    87.20     4.00     2.75
  0 (direct)     93.95     4.00     4.50
  2 (control)   102.45     4.00     2.00
  0 (direct)    108.45     4.00     5.75
  0 (direct)    118.20     4.00     3.50
  2 (control)   125.70     4.00     4.25
  0 (direct)    133.95     4.00     1.50
  1 (profile)   139.45     4.00     5.75
  2 (control)   149.20     4.00     6.75
  0 (direct)    159.95     4.00     6.25
  1 (profile)   170.20     4.00     1.00
  1 (profile)   175.20     4.00     1.25
  0 (direct)    180.45     4.00     3.25
  1 (profile)   187.70     4.00     6.75
  1 (profile)   198.45     4.00     5.50
  0 (direct)    207.95     4.00     5.25
  2 (control)   217.20     4.00     2.75
  1 (profile)   223.95     4.00     2.25
  0 (direct)    230.20     4.00     5.50
  1 (profile)   239.70     4.00     3.00
  0 (direct)    246.70     4.00     7.00
  1 (profile)   257.70     4.00     1.75
  1 (profile)   263.45     4.00     6.25
  0 (direct)    273.70     4.00     3.00
  2 (control)   280.70     4.00     3.75
  2 (control)   288.45     4.00     4.25
  1 (profile)   296.70     4.00     2.25
  1 (profile)   302.95     4.00     1.50
  2 (control)   308.45     4.00     1.25
  2 (control)   313.70     4.00     2.50
  2 (control)   320.20     4.00     2.50
  1 (profile)   326.70     4.00     5.00
  1 (profile)   335.70     4.00     6.50
  0 (direct)    346.20     4.00     6.00
  1 (profile)   356.20     4.00     1.00
  2 (control)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     4.25
  0 (direct)     17.45     4.00     6.50
  1 (profile)    27.95     4.00     1.00
  1 (profile)    32.95     4.00     2.25
  0 (direct)     39.20     4.00     1.75
  2 (control)    44.95     4.00     1.00
  2 (control)    49.95     4.00     6.00
  1 (profile)    59.95     4.00     2.00
  1 (profile)    65.95     4.00     3.00
  1 (profile)    72.95     4.00     3.50
  2 (control)    80.45     4.00     3.75
  0 (direct)     88.20     4.00     6.50
  0 (direct)     98.70     4.00     1.50
  0 (direct)    104.20     4.00     2.75
  2 (control)   110.95     4.00     6.25
  2 (control)   121.20     4.00     3.25
  0 (direct)    128.45     4.00     5.75
  2 (control)   138.20     4.00     4.50
  2 (control)   146.70     4.00     7.00
  0 (direct)    157.70     4.00     1.75
  0 (direct)    163.45     4.00     5.00
  2 (control)   172.45     4.00     2.50
  2 (control)   178.95     4.00     4.50
  2 (control)   187.45     4.00     4.75
  1 (profile)   196.20     4.00     5.25
  1 (profile)   205.45     4.00     6.25
  1 (profile)   215.70     4.00     6.75
  2 (control)   226.45     4.00     2.50
  1 (profile)   232.95     4.00     5.00
  2 (control)   241.95     4.00     6.75
  0 (direct)    252.70     4.00     1.25
  0 (direct)    257.95     4.00     7.00
  1 (profile)   268.95     4.00     4.25
  1 (profile)   277.20     4.00     1.50
  0 (direct)    282.70     4.00     5.25
  1 (profile)   291.95     4.00     2.25
  1 (profile)   298.20     4.00     5.75
  2 (control)   307.95     4.00     1.25
  2 (control)   313.20     4.00     3.50
  0 (direct)    320.70     4.00     5.50
  0 (direct)    330.20     4.00     2.75
  0 (direct)    336.95     4.00     3.00
  2 (control)   343.95     4.00     3.75
  1 (profile)   351.70     4.00     5.50
  1 (profile)   361.20     4.00     0.00

