-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     6.25
  0 (direct)     19.45     4.00     3.75
  1 (profile)    27.20     4.00     4.25
  1 (profile)    35.45     4.00     2.25
  1 (profile)    41.70     4.00     1.25
  2 (control)    46.95     4.00     6.50
  0 (direct)     57.45     4.00     1.75
  0 (direct)     63.20     4.00     1.00
  1 (profile)    68.20     4.00     2.25
  1 (profile)    74.45     4.00     6.00
  2 (control)    84.45     4.00     2.00
  0 (direct)     90.45     4.00     1.25
  1 (profile)    95.70     4.00     3.25
  1 (profile)   102.95     4.00     5.75
  2 (control)   112.70     4.00     3.50
  2 (control)   120.20     4.00     4.50
  2 (control)   128.70     4.00     4.50
  1 (profile)   137.20     4.00     5.50
  1 (profile)   146.70     4.00     6.25
  1 (profile)   156.95     4.00     7.00
  0 (direct)    167.95     4.00     5.25
  0 (direct)    177.20     4.00     5.50
  0 (direct)    186.70     4.00     5.75
  1 (profile)   196.45     4.00     3.00
  2 (control)   203.45     4.00     6.75
  0 (direct)    214.20     4.00     2.75
  2 (control)   220.95     4.00     5.25
  1 (profile)   230.20     4.00     4.75
  0 (direct)    238.95     4.00     3.75
  2 (control)   246.70     4.00     1.75
  2 (control)   252.45     4.00     1.50
  2 (control)   257.95     4.00     5.00
  0 (direct)    266.95     4.00     2.50
  0 (direct)    273.45     4.00     6.50
  2 (control)   283.95     4.00     5.00
  2 (control)   292.95     4.00     1.00
  2 (control)   297.95     4.00     2.50
  0 (direct)    304.45     4.00     2.75
  1 (profile)   311.20     4.00     3.50
  2 (control)   318.70     4.00     3.00
  0 (direct)    325.70     4.00     1.50
  2 (control)   331.20     4.00     7.00
  0 (direct)    342.20     4.00     6.75
  1 (profile)   352.95     4.00     4.25
  1 (profile)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     3.50
  2 (control)    16.70     4.00     2.25
  0 (direct)     22.95     4.00     4.50
  2 (control)    31.45     4.00     5.25
  2 (control)    40.70     4.00     4.50
  1 (profile)    49.20     4.00     6.50
  1 (profile)    59.70     4.00     2.75
  0 (direct)     66.45     4.00     5.50
  0 (direct)     75.95     4.00     3.00
  2 (control)    82.95     4.00     3.00
  0 (direct)     89.95     4.00     6.25
  1 (profile)   100.20     4.00     5.50
  0 (direct)    109.70     4.00     2.50
  0 (direct)    116.20     4.00     2.25
  1 (profile)   122.45     4.00     1.75
  2 (control)   128.20     4.00     4.25
  2 (control)   136.45     4.00     6.25
  0 (direct)    146.70     4.00     2.50
  2 (control)   153.20     4.00     5.75
  1 (profile)   162.95     4.00     3.75
  1 (profile)   170.70     4.00     3.50
  1 (profile)   178.20     4.00     6.00
  0 (direct)    188.20     4.00     1.25
  0 (direct)    193.45     4.00     6.75
  1 (profile)   204.20     4.00     5.00
  1 (profile)   213.20     4.00     6.75
  0 (direct)    223.95     4.00     6.50
  2 (control)   234.45     4.00     5.25
  0 (direct)    243.70     4.00     3.75
  1 (profile)   251.45     4.00     2.00
  2 (control)   257.45     4.00     7.00
  1 (profile)   268.45     4.00     1.00
  0 (direct)    273.45     4.00     1.00
  0 (direct)    278.45     4.00     5.75
  2 (control)   288.20     4.00     1.75
  1 (profile)   293.95     4.00     1.25
  2 (control)   299.20     4.00     3.25
  2 (control)   306.45     4.00     2.75
  2 (control)   313.20     4.00     4.75
  1 (profile)   321.95     4.00     1.50
  0 (direct)    327.45     4.00     7.00
  2 (control)   338.45     4.00     5.00
  0 (direct)    347.45     4.00     4.25
  1 (profile)   355.70     4.00     1.50
  1 (profile)   361.20     4.00     0.00

