-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     1.00
  1 (profile)    14.20     4.00     1.75
  0 (direct)     19.95     4.00     5.00
  0 (direct)     28.95     4.00     2.75
  0 (direct)     35.70     4.00     5.00
  2 (control)    44.70     4.00     3.75
  2 (control)    52.45     4.00     2.50
  2 (control)    58.95     4.00     4.50
  1 (profile)    67.45     4.00     2.00
  0 (direct)     73.45     4.00     6.75
  1 (profile)    84.20     4.00     5.75
  1 (profile)    93.95     4.00     6.50
  2 (control)   104.45     4.00     5.50
  1 (profile)   113.95     4.00     6.75
  1 (profile)   124.70     4.00     5.75
  0 (direct)    134.45     4.00     2.75
  0 (direct)    141.20     4.00     6.25
  2 (control)   151.45     4.00     1.50
  1 (profile)   156.95     4.00     7.00
  1 (profile)   167.95     4.00     3.25
  1 (profile)   175.20     4.00     6.00
  2 (control)   185.20     4.00     1.25
  2 (control)   190.45     4.00     3.75
  1 (profile)   198.20     4.00     1.25
  2 (control)   203.45     4.00     4.50
  0 (direct)    211.95     4.00     5.50
  0 (direct)    221.45     4.00     2.25
  2 (control)   227.70     4.00     5.25
  0 (direct)    236.95     4.00     5.25
  0 (direct)    246.20     4.00     6.25
  1 (profile)   256.45     4.00     4.75
  1 (profile)   265.20     4.00     2.25
  2 (control)   271.45     4.00     1.00
  2 (control)   276.45     4.00     4.25
  2 (control)   284.70     4.00     3.00
  0 (direct)    291.70     4.00     2.50
  0 (direct)    298.20     4.00     3.50
  2 (control)   305.70     4.00     6.50
  1 (profile)   316.20     4.00     1.75
  1 (profile)   321.95     4.00     3.00
  1 (profile)   328.95     4.00     1.50
  0 (direct)    334.45     4.00     4.25
  0 (direct)    342.70     4.00     3.50
  0 (direct)    350.20     4.00     7.00
  2 (control)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     2.25
  0 (direct)     15.45     4.00     3.75
  2 (control)    23.20     4.00     3.50
  0 (direct)     30.70     4.00     5.50
  0 (direct)     40.20     4.00     4.75
  1 (profile)    48.95     4.00     6.25
  0 (direct)     59.20     4.00     1.50
  2 (control)    64.70     4.00     6.50
  1 (profile)    75.20     4.00     5.25
  1 (profile)    84.45     4.00     2.75
  1 (profile)    91.20     4.00     6.75
  2 (control)   101.95     4.00     5.50
  0 (direct)    111.45     4.00     2.00
  0 (direct)    117.45     4.00     1.75
  2 (control)   123.20     4.00     3.75
  0 (direct)    130.95     4.00     3.00
  0 (direct)    137.95     4.00     5.00
  2 (control)   146.95     4.00     7.00
  1 (profile)   157.95     4.00     3.00
  1 (profile)   164.95     4.00     4.50
  2 (control)   173.45     4.00     5.75
  0 (direct)    183.20     4.00     6.75
  0 (direct)    193.95     4.00     1.75
  1 (profile)   199.70     4.00     5.75
  2 (control)   209.45     4.00     5.25
  1 (profile)   218.70     4.00     1.00
  1 (profile)   223.70     4.00     4.50
  2 (control)   232.20     4.00     6.50
  2 (control)   242.70     4.00     3.25
  2 (control)   249.95     4.00     2.75
  0 (direct)    256.70     4.00     4.25
  2 (control)   264.95     4.00     6.25
  0 (direct)    275.20     4.00     1.25
  0 (direct)    280.45     4.00     2.50
  2 (control)   286.95     4.00     1.25
  1 (profile)   292.20     4.00     2.50
  1 (profile)   298.70     4.00     2.25
  2 (control)   304.95     4.00     4.25
  1 (profile)   313.20     4.00     1.50
  2 (control)   318.70     4.00     1.00
  1 (profile)   323.70     4.00     5.00
  2 (control)   332.70     4.00     6.00
  0 (direct)    342.70     4.00     7.00
  1 (profile)   353.70     4.00     3.50
  1 (profile)   361.20     4.00     0.00

