-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     4.50
  2 (control)    17.70     4.00     5.25
  0 (direct)     26.95     4.00     2.50
  0 (direct)     33.45     4.00     3.00
  1 (profile)    40.45     4.00     7.00
  0 (direct)     51.45     4.00     1.25
  1 (profile)    56.70     4.00     2.75
  0 (direct)     63.45     4.00     3.50
  2 (control)    70.95     4.00     5.00
  1 (profile)    79.95     4.00     6.75
  0 (direct)     90.70     4.00     3.75
  2 (control)    98.45     4.00     6.25
  0 (direct)    108.70     4.00     2.75
  2 (control)   115.45     4.00     5.00
  2 (control)   124.45     4.00     4.75
  1 (profile)   133.20     4.00     6.50
  1 (profile)   143.70     4.00     2.00
  0 (direct)    149.70     4.00     5.50
  2 (control)   159.20     4.00     6.25
  0 (direct)    169.45     4.00     2.25
  0 (direct)    175.70     4.00     5.25
  2 (control)   184.95     4.00     1.75
  2 (control)   190.70     4.00     1.00
  0 (direct)    195.70     4.00     1.00
  1 (profile)   200.70     4.00     1.75
  0 (direct)    206.45     4.00     5.75
  2 (control)   216.20     4.00     4.50
  2 (control)   224.70     4.00     3.25
  2 (control)   231.95     4.00     5.75
  1 (profile)   241.70     4.00     1.50
  1 (profile)   247.20     4.00     4.25
  1 (profile)   255.45     4.00     6.00
  2 (control)   265.45     4.00     2.50
  0 (direct)    271.95     4.00     4.25
  1 (profile)   280.20     4.00     3.00
  2 (control)   287.20     4.00     1.50
  1 (profile)   292.70     4.00     3.50
  0 (direct)    300.20     4.00     6.75
  1 (profile)   310.95     4.00     3.75
  0 (direct)    318.70     4.00     1.25
  2 (control)   323.95     4.00     5.50
  2 (control)   333.45     4.00     6.50
  0 (direct)    343.95     4.00     2.25
  1 (profile)   350.20     4.00     7.00
  1 (profile)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     1.00
  2 (control)    14.20     4.00     3.25
  0 (direct)     21.45     4.00     1.00
  0 (direct)     26.45     4.00     1.75
  1 (profile)    32.20     4.00     1.50
  2 (control)    37.70     4.00     6.75
  1 (profile)    48.45     4.00     2.25
  0 (direct)     54.70     4.00     3.50
  0 (direct)     62.20     4.00     5.00
  0 (direct)     71.20     4.00     5.00
  1 (profile)    80.20     4.00     5.75
  2 (control)    89.95     4.00     2.50
  2 (control)    96.45     4.00     6.25
  1 (profile)   106.70     4.00     6.50
  1 (profile)   117.20     4.00     3.50
  0 (direct)    124.70     4.00     4.25
  2 (control)   132.95     4.00     5.25
  0 (direct)    142.20     4.00     6.00
  1 (profile)   152.20     4.00     5.50
  2 (control)   161.70     4.00     2.25
  0 (direct)    167.95     4.00     1.25
  0 (direct)    173.20     4.00     5.50
  1 (profile)   182.70     4.00     6.75
  2 (control)   193.45     4.00     6.50
  1 (profile)   203.95     4.00     7.00
  2 (control)   214.95     4.00     4.50
  2 (control)   223.45     4.00     3.75
  1 (profile)   231.20     4.00     3.00
  1 (profile)   238.20     4.00     4.75
  2 (control)   246.95     4.00     2.50
  2 (control)   253.45     4.00     3.00
  2 (control)   260.45     4.00     5.75
  1 (profile)   270.20     4.00     2.75
  1 (profile)   276.95     4.00     5.25
  2 (control)   286.20     4.00     1.50
  0 (direct)    291.70     4.00     7.00
  0 (direct)    302.70     4.00     2.00
  1 (profile)   308.70     4.00     2.75
  0 (direct)    315.45     4.00     3.75
  0 (direct)    323.20     4.00     1.25
  0 (direct)    328.45     4.00     4.50
  1 (profile)   336.95     4.00     1.75
  1 (profile)   342.70     4.00     4.25
  2 (control)   350.95     4.00     6.25
  0 (direct)    361.20     4.00     0.00

