-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     1.25
  1 (profile)    14.45     4.00     1.75
  0 (direct)     20.20     4.00     4.25
  2 (control)    28.45     4.00     2.75
  2 (control)    35.20     4.00     5.00
  1 (profile)    44.20     4.00     5.75
  0 (direct)     53.95     4.00     6.75
  2 (control)    64.70     4.00     5.25
  2 (control)    73.95     4.00     2.50
  1 (profile)    80.45     4.00     3.25
  2 (control)    87.70     4.00     2.25
  1 (profile)    93.95     4.00     3.75
  2 (control)   101.70     4.00     6.00
  0 (direct)    111.70     4.00     4.50
  2 (control)   120.20     4.00     2.75
  1 (profile)   126.95     4.00     7.00
  0 (direct)    137.95     4.00     2.00
  2 (control)   143.95     4.00     1.75
  2 (control)   149.70     4.00     4.75
  2 (control)   158.45     4.00     2.50
  0 (direct)    164.95     4.00     5.50
  2 (control)   174.45     4.00     3.50
  1 (profile)   181.95     4.00     5.75
  0 (direct)    191.70     4.00     5.25
  0 (direct)    200.95     4.00     1.00
  0 (direct)    205.95     4.00     2.25
  1 (profile)   212.20     4.00     6.25
  0 (direct)    222.45     4.00     6.50
  0 (direct)    232.95     4.00     1.50
  1 (profile)   238.45     4.00     4.25
  0 (direct)    246.70     4.00     6.50
  2 (control)   257.20     4.00     5.50
  0 (direct)    266.70     4.00     3.75
  1 (profile)   274.45     4.00     7.00
  1 (profile)   285.45     4.00     3.00
  2 (control)   292.45     4.00     3.00
  1 (profile)   299.45     4.00     1.50
  2 (control)   304.95     4.00     6.75
  2 (control)   315.70     4.00     5.00
  1 (profile)   324.70     4.00     3.50
  1 (profile)   332.20     4.00     1.00
  1 (profile)   337.20     4.00     1.25
  0 (direct)    342.45     4.00     6.25
  0 (direct)    352.70     4.00     4.50
  1 (profile)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     1.00
  1 (profile)    14.20     4.00     6.50
  2 (control)    24.70     4.00     3.50
  1 (profile)    32.20     4.00     2.50
  2 (control)    38.70     4.00     1.00
  1 (profile)    43.70     4.00     1.75
  0 (direct)     49.45     4.00     4.75
  0 (direct)     58.20     4.00     5.00
  2 (control)    67.20     4.00     2.75
  2 (control)    73.95     4.00     5.00
  2 (control)    82.95     4.00     4.50
  0 (direct)     91.45     4.00     5.50
  1 (profile)   100.95     4.00     4.50
  0 (direct)    109.45     4.00     3.00
  0 (direct)    116.45     4.00     1.75
  0 (direct)    122.20     4.00     7.00
  1 (profile)   133.20     4.00     6.75
  0 (direct)    143.95     4.00     5.75
  2 (control)   153.70     4.00     2.00
  1 (profile)   159.70     4.00     1.25
  1 (profile)   164.95     4.00     3.75
  0 (direct)    172.70     4.00     6.25
  1 (profile)   182.95     4.00     6.75
  2 (control)   193.70     4.00     3.50
  1 (profile)   201.20     4.00     6.25
  0 (direct)    211.45     4.00     3.75
  0 (direct)    219.20     4.00     5.75
  0 (direct)    228.95     4.00     2.25
  2 (control)   235.20     4.00     3.25
  2 (control)   242.45     4.00     3.00
  0 (direct)    249.45     4.00     6.50
  2 (control)   259.95     4.00     1.50
  2 (control)   265.45     4.00     4.25
  2 (control)   273.70     4.00     1.25
  0 (direct)    278.95     4.00     7.00
  0 (direct)    289.95     4.00     4.25
  1 (profile)   298.20     4.00     5.25
  1 (profile)   307.45     4.00     2.75
  1 (profile)   314.20     4.00     2.50
  0 (direct)    320.70     4.00     5.50
  1 (profile)   330.20     4.00     6.00
  1 (profile)   340.20     4.00     5.25
  2 (control)   349.45     4.00     2.25
  2 (control)   355.70     4.00     1.50
  2 (control)   361.20     4.00     0.00

