-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     1.75
  1 (profile)    14.95     4.00     1.25
  2 (control)    20.20     4.00     5.25
  1 (profile)    29.45     4.00     1.50
  0 (direct)     34.95     4.00     6.00
  0 (direct)     44.95     4.00     6.50
  0 (direct)     55.45     4.00     7.00
  1 (profile)    66.45     4.00     1.25
  2 (control)    71.70     4.00     7.00
  1 (profile)    82.70     4.00     3.00
  1 (profile)    89.70     4.00     2.25
  0 (direct)     95.95     4.00     6.75
  0 (direct)    106.70     4.00     5.50
  2 (control)   116.20     4.00     6.75
  1 (profile)   126.95     4.00     4.25
  0 (direct)    135.20     4.00     1.00
  0 (direct)    140.20     4.00     5.75
  1 (profile)   149.95     4.00     6.50
  2 (control)   160.45     4.00     4.75
  0 (direct)    169.20     4.00     6.25
  1 (profile)   179.45     4.00     2.50
  1 (profile)   185.95     4.00     4.50
  2 (control)   194.45     4.00     6.25
  0 (direct)    204.70     4.00     2.75
  2 (control)   211.45     4.00     3.00
  0 (direct)    218.45     4.00     5.50
  2 (control)   227.95     4.00     4.50
  2 (control)   236.45     4.00     4.25
  1 (profile)   244.70     4.00     3.50
  1 (profile)   252.20     4.00     2.50
  1 (profile)   258.70     4.00     2.75
  0 (direct)    265.45     4.00     5.00
  2 (control)   274.45     4.00     5.00
  0 (direct)    283.45     4.00     1.50
  1 (profile)   288.95     4.00     3.75
  2 (control)   296.70     4.00     3.25
  2 (control)   303.95     4.00     2.00
  2 (control)   309.95     4.00     5.75
  1 (profile)   319.70     4.00     5.25
  0 (direct)    328.95     4.00     2.25
  2 (control)   335.20     4.00     3.50
  0 (direct)    342.70     4.00     1.00
  2 (control)   347.70     4.00     3.75
  1 (profile)   355.45     4.00     1.75
  2 (control)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     3.25
  2 (control)    16.45     4.00     4.25
  2 (control)    24.70     4.00     5.25
  1 (profile)    33.95     4.00     1.50
  1 (profile)    39.45     4.00     1.25
  1 (profile)    44.70     4.00     2.00
  2 (control)    50.70     4.00     2.25
  0 (direct)     56.95     4.00     3.00
  0 (direct)     63.95     4.00     1.50
  2 (control)    69.45     4.00     2.25
  0 (direct)     75.70     4.00     1.00
  0 (direct)     80.70     4.00     5.75
  0 (direct)     90.45     4.00     2.75
  1 (profile)    97.20     4.00     5.50
  1 (profile)   106.70     4.00     6.50
  2 (control)   117.20     4.00     5.25
  1 (profile)   126.45     4.00     3.75
  2 (control)   134.20     4.00     7.00
  1 (profile)   145.20     4.00     6.25
  0 (direct)    155.45     4.00     4.25
  0 (direct)    163.70     4.00     6.00
  1 (profile)   173.70     4.00     2.50
  1 (profile)   180.20     4.00     1.00
  0 (direct)    185.20     4.00     3.50
  0 (direct)    192.70     4.00     6.75
  1 (profile)   203.45     4.00     6.50
  1 (profile)   213.95     4.00     5.00
  1 (profile)   222.95     4.00     5.75
  0 (direct)    232.70     4.00     5.50
  0 (direct)    242.20     4.00     1.75
  2 (control)   247.95     4.00     5.00
  2 (control)   256.95     4.00     3.00
  2 (control)   263.95     4.00     3.75
  0 (direct)    271.70     4.00     4.75
  2 (control)   280.45     4.00     1.25
  1 (profile)   285.70     4.00     4.50
  2 (control)   294.20     4.00     6.75
  0 (direct)    304.95     4.00     4.50
  2 (control)   313.45     4.00     1.75
  0 (direct)    319.20     4.00     6.25
  2 (control)   329.45     4.00     7.00
  2 (control)   340.45     4.00     2.50
  1 (profile)   346.95     4.00     2.75
  0 (direct)    353.70     4.00     3.50
  1 (profile)   361.20     4.00     0.00

