-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     3.50
  1 (profile)    16.70     4.00     5.25
  1 (profile)    25.95     4.00     1.25
  1 (profile)    31.20     4.00     6.25
  2 (control)    41.45     4.00     6.50
  0 (direct)     51.95     4.00     2.50
  0 (direct)     58.45     4.00     5.00
  1 (profile)    67.45     4.00     1.50
  0 (direct)     72.95     4.00     3.50
  0 (direct)     80.45     4.00     6.25
  1 (profile)    90.70     4.00     3.25
  1 (profile)    97.95     4.00     3.00
  1 (profile)   104.95     4.00     2.75
  2 (control)   111.70     4.00     5.50
  0 (direct)    121.20     4.00     1.50
  2 (control)   126.70     4.00     5.25
  1 (profile)   135.95     4.00     2.50
  2 (control)   142.45     4.00     4.25
  0 (direct)    150.70     4.00     5.00
  2 (control)   159.70     4.00     7.00
  1 (profile)   170.70     4.00     4.50
  1 (profile)   179.20     4.00     2.25
  0 (direct)    185.45     4.00     5.50
  1 (profile)   194.95     4.00     4.75
  2 (control)   203.70     4.00     5.75
  0 (direct)    213.45     4.00     5.75
  1 (profile)   223.20     4.00     6.00
  0 (direct)    233.20     4.00     1.75
  2 (control)   238.95     4.00     7.00
  2 (control)   249.95     4.00     2.25
  2 (control)   256.20     4.00     3.75
  0 (direct)    263.95     4.00     2.75
  1 (profile)   270.70     4.00     1.00
  1 (profile)   275.70     4.00     1.00
  0 (direct)    280.70     4.00     3.75
  2 (control)   288.45     4.00     6.75
  0 (direct)    299.20     4.00     1.25
  2 (control)   304.45     4.00     4.50
  0 (direct)    312.95     4.00     3.00
  0 (direct)    319.95     4.00     1.75
  2 (control)   325.70     4.00     6.75
  0 (direct)    336.45     4.00     2.00
  2 (control)   342.45     4.00     4.25
  1 (profile)   350.70     4.00     6.50
  2 (control)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     1.25
  2 (control)    14.45     4.00     2.75
  0 (direct)     21.20     4.00     6.00
  2 (control)    31.20     4.00     5.75
  1 (profile)    40.95     4.00     5.00
  0 (direct)     49.95     4.00     1.50
  0 (direct)     55.45     4.00     3.00
  1 (profile)    62.45     4.00     3.50
  0 (direct)     69.95     4.00     6.50
  0 (direct)     80.45     4.00     3.75
  1 (profile)    88.20     4.00     2.50
  2 (control)    94.70     4.00     5.00
  2 (control)   103.70     4.00     5.50
  1 (profile)   113.20     4.00     3.75
  1 (profile)   120.95     4.00     4.50
  0 (direct)    129.45     4.00     4.75
  2 (control)   138.20     4.00     5.75
  2 (control)   147.95     4.00     7.00
  2 (control)   158.95     4.00     2.25
  1 (profile)   165.20     4.00     5.25
  2 (control)   174.45     4.00     5.50
  1 (profile)   183.95     4.00     3.25
  2 (control)   191.20     4.00     2.75
  2 (control)   197.95     4.00     5.25
  1 (profile)   207.20     4.00     1.75
  2 (control)   212.95     4.00     7.00
  0 (direct)    223.95     4.00     4.25
  0 (direct)    232.20     4.00     4.50
  0 (direct)    240.70     4.00     2.00
  1 (profile)   246.70     4.00     6.25
  0 (direct)    256.95     4.00     6.50
  1 (profile)   267.45     4.00     1.00
  2 (control)   272.45     4.00     4.25
  1 (profile)   280.70     4.00     6.75
  0 (direct)    291.45     4.00     6.25
  1 (profile)   301.70     4.00     1.00
  0 (direct)    306.70     4.00     1.75
  0 (direct)    312.45     4.00     2.50
  2 (control)   318.95     4.00     3.50
  2 (control)   326.45     4.00     3.00
  1 (profile)   333.45     4.00     1.25
  2 (control)   338.70     4.00     2.25
  0 (direct)    344.95     4.00     1.50
  0 (direct)    350.45     4.00     6.75
  1 (profile)   361.20     4.00     0.00

