-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     2.00
  2 (control)    15.20     4.00     2.25
  2 (control)    21.45     4.00     2.25
  2 (control)    27.70     4.00     1.00
  1 (profile)    32.70     4.00     3.50
  2 (control)    40.20     4.00     3.75
  2 (control)    47.95     4.00     4.25
  2 (control)    56.20     4.00     5.25
  1 (profile)    65.45     4.00     1.75
  1 (profile)    71.20     4.00     6.25
  0 (direct)     81.45     4.00     6.75
  0 (direct)     92.20     4.00     3.25
  0 (direct)     99.45     4.00     5.00
  2 (control)   108.45     4.00     7.00
  2 (control)   119.45     4.00     6.25
  1 (profile)   129.70     4.00     4.25
  2 (control)   137.95     4.00     2.50
  2 (control)   144.45     4.00     4.50
  1 (profile)   152.95     4.00     5.25
  1 (profile)   162.20     4.00     4.50
  1 (profile)   170.70     4.00     1.50
  0 (direct)    176.20     4.00     3.00
  1 (profile)   183.20     4.00     1.25
  2 (control)   188.45     4.00     2.75
  0 (direct)    195.20     4.00     1.25
  0 (direct)    200.45     4.00     1.50
  0 (direct)    205.95     4.00     6.50
  1 (profile)   216.45     4.00     7.00
  1 (profile)   227.45     4.00     6.00
  2 (control)   237.45     4.00     3.00
  1 (profile)   244.45     4.00     3.75
  0 (direct)    252.20     4.00     5.75
  1 (profile)   261.95     4.00     4.75
  0 (direct)    270.70     4.00     1.75
  0 (direct)    276.45     4.00     6.50
  0 (direct)    286.95     4.00     5.50
  1 (profile)   296.45     4.00     5.50
  0 (direct)    305.95     4.00     2.50
  1 (profile)   312.45     4.00     5.00
  2 (control)   321.45     4.00     6.75
  2 (control)   332.20     4.00     1.00
  2 (control)   337.20     4.00     3.50
  0 (direct)    344.70     4.00     5.75
  1 (profile)   354.45     4.00     2.75
  0 (direct)    361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     3.00
  2 (control)    16.20     4.00     4.75
  0 (direct)     24.95     4.00     6.75
  0 (direct)     35.70     4.00     5.75
  2 (control)    45.45     4.00     5.00
  1 (profile)    54.45     4.00     1.75
  1 (profile)    60.20     4.00     1.75
  1 (profile)    65.95     4.00     4.50
  0 (direct)     74.45     4.00     6.50
  0 (direct)     84.95     4.00     1.25
  0 (direct)     90.20     4.00     5.50
  1 (profile)    99.70     4.00     3.75
  2 (control)   107.45     4.00     6.25
  2 (control)   117.70     4.00     6.25
  0 (direct)    127.95     4.00     3.25
  1 (profile)   135.20     4.00     2.50
  1 (profile)   141.70     4.00     5.75
  0 (direct)    151.45     4.00     4.25
  2 (control)   159.70     4.00     5.00
  2 (control)   168.70     4.00     2.75
  2 (control)   175.45     4.00     2.50
  0 (direct)    181.95     4.00     3.00
  1 (profile)   188.95     4.00     1.50
  0 (direct)    194.45     4.00     2.25
  0 (direct)    200.70     4.00     1.00
  1 (profile)   205.70     4.00     2.25
  0 (direct)    211.95     4.00     7.00
  1 (profile)   222.95     4.00     3.75
  0 (direct)    230.70     4.00     6.75
  1 (profile)   241.45     4.00     3.50
  2 (control)   248.95     4.00     1.25
  2 (control)   254.20     4.00     3.50
  2 (control)   261.70     4.00     6.00
  1 (profile)   271.70     4.00     4.25
  1 (profile)   279.95     4.00     6.50
  0 (direct)    290.45     4.00     5.50
  2 (control)   299.95     4.00     5.25
  0 (direct)    309.20     4.00     4.50
  2 (control)   317.70     4.00     2.75
  2 (control)   324.45     4.00     1.50
  2 (control)   329.95     4.00     7.00
  1 (profile)   340.95     4.00     1.00
  1 (profile)   345.95     4.00     5.25
  0 (direct)    355.20     4.00     2.00
  1 (profile)   361.20     4.00     0.00

