-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     1.00
  1 (profile)    14.20     4.00     4.25
  2 (control)    22.45     4.00     4.50
  1 (profile)    30.95     4.00     1.00
  0 (direct)     35.95     4.00     5.00
  2 (control)    44.95     4.00     7.00
  2 (control)    55.95     4.00     4.25
  1 (profile)    64.20     4.00     5.25
  0 (direct)     73.45     4.00     3.00
  2 (control)    80.45     4.00     1.25
  1 (profile)    85.70     4.00     4.50
  0 (direct)     94.20     4.00     3.75
  2 (control)   101.95     4.00     3.50
  1 (profile)   109.45     4.00     5.75
  0 (direct)    119.20     4.00     2.75
  0 (direct)    125.95     4.00     2.00
  0 (direct)    131.95     4.00     6.00
  1 (profile)   141.95     4.00     5.50
  1 (profile)   151.45     4.00     1.75
  2 (control)   157.20     4.00     6.25
  1 (profile)   167.45     4.00     6.75
  0 (direct)    178.20     4.00     3.25
  1 (profile)   185.45     4.00     7.00
  0 (direct)    196.45     4.00     1.50
  0 (direct)    201.95     4.00     2.25
  2 (control)   208.20     4.00     4.75
  0 (direct)    216.95     4.00     1.25
  2 (control)   222.20     4.00     3.75
  1 (profile)   229.95     4.00     3.00
  0 (direct)    236.95     4.00     2.75
  2 (control)   243.70     4.00     5.25
  2 (control)   252.95     4.00     2.25
  2 (control)   259.20     4.00     6.75
  1 (profile)   269.95     4.00     6.50
  1 (profile)   280.45     4.00     1.75
  2 (control)   286.20     4.00     5.75
  0 (direct)    295.95     4.00     5.50
  1 (profile)   305.45     4.00     5.00
  0 (direct)    314.45     4.00     3.50
  1 (profile)   321.95     4.00     2.50
  0 (direct)    328.45     4.00     6.25
  2 (control)   338.70     4.00     2.50
  2 (control)   345.20     4.00     1.50
  2 (control)   350.70     4.00     6.50
  1 (profile)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     1.25
  1 (profile)    14.45     4.00     2.75
  0 (direct)     21.20     4.00     3.75
  0 (direct)     28.95     4.00     1.00
  1 (profile)    33.95     4.00     5.00
  0 (direct)     42.95     4.00     4.50
  2 (control)    51.45     4.00     2.50
  2 (control)    57.95     4.00     5.25
  2 (control)    67.20     4.00     2.25
  0 (direct)     73.45     4.00     6.75
  0 (direct)     84.20     4.00     1.75
  1 (profile)    89.95     4.00     1.75
  2 (control)    95.70     4.00     6.25
  2 (control)   105.95     4.00     4.75
  1 (profile)   114.70     4.00     2.75
  2 (control)   121.45     4.00     7.00
  1 (profile)   132.45     4.00     7.00
  0 (direct)    143.45     4.00     6.50
  2 (control)   153.95     4.00     5.75
  0 (direct)    163.70     4.00     6.75
  1 (profile)   174.45     4.00     4.25
  0 (direct)    182.70     4.00     6.25
  0 (direct)    192.95     4.00     3.50
  1 (profile)   200.45     4.00     6.00
  1 (profile)   210.45     4.00     2.25
  0 (direct)    216.70     4.00     5.25
  1 (profile)   225.95     4.00     3.00
  1 (profile)   232.95     4.00     5.50
  2 (control)   242.45     4.00     1.50
  2 (control)   247.95     4.00     4.50
  2 (control)   256.45     4.00     6.50
  1 (profile)   266.95     4.00     3.25
  0 (direct)    274.20     4.00     3.75
  1 (profile)   281.95     4.00     1.25
  1 (profile)   287.20     4.00     2.50
  1 (profile)   293.70     4.00     1.50
  0 (direct)    299.20     4.00     5.50
  2 (control)   308.70     4.00     5.75
  2 (control)   318.45     4.00     3.00
  2 (control)   325.45     4.00     1.00
  0 (direct)    330.45     4.00     2.00
  0 (direct)    336.45     4.00     4.25
  2 (control)   344.70     4.00     5.00
  1 (profile)   353.70     4.00     3.50
  0 (direct)    361.20     4.00     0.00

