-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     1.00
  2 (control)    14.20     4.00     1.50
  1 (profile)    19.70     4.00     5.75
  0 (direct)     29.45     4.00     6.00
  1 (profile)    39.45     4.00     1.00
  1 (profile)    44.45     4.00     1.25
  2 (control)    49.70     4.00     1.50
  0 (direct)     55.20     4.00     3.25
  2 (control)    62.45     4.00     5.25
  0 (direct)     71.70     4.00     4.75
  1 (profile)    80.45     4.00     2.75
  2 (control)    87.20     4.00     3.50
  1 (profile)    94.70     4.00     7.00
  0 (direct)    105.70     4.00     2.50
  1 (profile)   112.20     4.00     6.75
  2 (control)   122.95     4.00     4.25
  1 (profile)   131.20     4.00     6.25
  0 (direct)    141.45     4.00     3.00
  1 (profile)   148.45     4.00     5.75
  0 (direct)    158.20     4.00     3.75
  2 (control)   165.95     4.00     6.50
  2 (control)   176.45     4.00     3.00
  1 (profile)   183.45     4.00     2.25
  0 (direct)    189.70     4.00     6.50
  0 (direct)    200.20     4.00     2.75
  2 (control)   206.95     4.00     3.75
  1 (profile)   214.70     4.00     1.25
  2 (control)   219.95     4.00     5.25
  1 (profile)   229.20     4.00     4.50
  0 (direct)    237.70     4.00     7.00
  1 (profile)   248.70     4.00     4.50
  1 (profile)   257.20     4.00     6.75
  0 (direct)    267.95     4.00     5.00
  2 (control)   276.95     4.00     4.25
  0 (direct)    285.20     4.00     3.50
  0 (direct)    292.70     4.00     5.50
  2 (control)   302.20     4.00     2.50
  2 (control)   308.70     4.00     1.75
  2 (control)   314.45     4.00     1.75
  0 (direct)    320.20     4.00     6.25
  2 (control)   330.45     4.00     5.00
  0 (direct)    339.45     4.00     2.25
  0 (direct)    345.70     4.00     2.00
  1 (profile)   351.70     4.00     5.50
  1 (profile)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     2.25
  0 (direct)     15.45     4.00     3.50
  2 (control)    22.95     4.00     5.75
  0 (direct)     32.70     4.00     3.25
  1 (profile)    39.95     4.00     1.50
  1 (profile)    45.45     4.00     5.00
  1 (profile)    54.45     4.00     4.50
  2 (control)    62.95     4.00     1.00
  2 (control)    67.95     4.00     3.75
  0 (direct)     75.70     4.00     3.00
  2 (control)    82.70     4.00     2.00
  0 (direct)     88.70     4.00     6.25
  1 (profile)    98.95     4.00     3.50
  0 (direct)    106.45     4.00     4.25
  2 (control)   114.70     4.00     7.00
  1 (profile)   125.70     4.00     5.25
  0 (direct)    134.95     4.00     4.50
  1 (profile)   143.45     4.00     2.75
  1 (profile)   150.20     4.00     6.00
  1 (profile)   160.20     4.00     4.25
  0 (direct)    168.45     4.00     3.00
  1 (profile)   175.45     4.00     7.00
  2 (control)   186.45     4.00     6.25
  0 (direct)    196.70     4.00     1.75
  2 (control)   202.45     4.00     6.75
  2 (control)   213.20     4.00     1.50
  2 (control)   218.70     4.00     5.50
  0 (direct)    228.20     4.00     5.75
  2 (control)   237.95     4.00     2.25
  0 (direct)    244.20     4.00     1.25
  2 (control)   249.45     4.00     5.00
  2 (control)   258.45     4.00     1.25
  2 (control)   263.70     4.00     1.75
  1 (profile)   269.45     4.00     2.50
  0 (direct)    275.95     4.00     1.00
  0 (direct)    280.95     4.00     3.75
  0 (direct)    288.70     4.00     6.50
  1 (profile)   299.20     4.00     2.50
  0 (direct)    305.70     4.00     5.25
  1 (profile)   314.95     4.00     4.75
  2 (control)   323.70     4.00     6.75
  2 (control)   334.45     4.00     5.50
  1 (profile)   343.95     4.00     2.75
  0 (direct)    350.70     4.00     6.50
  1 (profile)   361.20     4.00     0.00

