-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     2.75
  2 (control)    15.95     4.00     5.25
  0 (direct)     25.20     4.00     2.25
  0 (direct)     31.45     4.00     6.25
  2 (control)    41.70     4.00     1.50
  2 (control)    47.20     4.00     7.00
  1 (profile)    58.20     4.00     1.75
  2 (control)    63.95     4.00     3.50
  2 (control)    71.45     4.00     1.75
  0 (direct)     77.20     4.00     6.00
  1 (profile)    87.20     4.00     2.50
  2 (control)    93.70     4.00     4.75
  1 (profile)   102.45     4.00     5.50
  2 (control)   111.95     4.00     5.25
  2 (control)   121.20     4.00     2.75
  2 (control)   127.95     4.00     6.75
  0 (direct)    138.70     4.00     4.25
  0 (direct)    146.95     4.00     7.00
  0 (direct)    157.95     4.00     1.25
  2 (control)   163.20     4.00     5.75
  1 (profile)   172.95     4.00     3.00
  1 (profile)   179.95     4.00     4.25
  0 (direct)    188.20     4.00     5.00
  1 (profile)   197.20     4.00     2.25
  2 (control)   203.45     4.00     3.00
  2 (control)   210.45     4.00     6.25
  0 (direct)    220.70     4.00     3.50
  1 (profile)   228.20     4.00     3.75
  1 (profile)   235.95     4.00     3.25
  1 (profile)   243.20     4.00     4.50
  0 (direct)    251.70     4.00     4.50
  1 (profile)   260.20     4.00     6.50
  2 (control)   270.70     4.00     2.50
  0 (direct)    277.20     4.00     6.75
  2 (control)   287.95     4.00     5.00
  1 (profile)   296.95     4.00     2.00
  1 (profile)   302.95     4.00     1.00
  1 (profile)   307.95     4.00     3.75
  0 (direct)    315.70     4.00     1.00
  0 (direct)    320.70     4.00     5.50
  0 (direct)    330.20     4.00     5.75
  2 (control)   339.95     4.00     6.50
  1 (profile)   350.45     4.00     1.50
  1 (profile)   355.95     4.00     1.25
  0 (direct)    361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     5.50
  2 (control)    18.70     4.00     4.25
  0 (direct)     26.95     4.00     2.25
  0 (direct)     33.20     4.00     1.50
  1 (profile)    38.70     4.00     1.25
  2 (control)    43.95     4.00     1.50
  2 (control)    49.45     4.00     1.00
  0 (direct)     54.45     4.00     6.75
  0 (direct)     65.20     4.00     5.25
  1 (profile)    74.45     4.00     6.00
  0 (direct)     84.45     4.00     3.25
  0 (direct)     91.70     4.00     2.50
  2 (control)    98.20     4.00     4.50
  0 (direct)    106.70     4.00     1.75
  2 (control)   112.45     4.00     6.75
  0 (direct)    123.20     4.00     5.25
  2 (control)   132.45     4.00     3.75
  1 (profile)   140.20     4.00     1.00
  0 (direct)    145.20     4.00     2.75
  0 (direct)    151.95     4.00     5.00
  1 (profile)   160.95     4.00     3.75
  1 (profile)   168.70     4.00     2.75
  1 (profile)   175.45     4.00     7.00
  2 (control)   186.45     4.00     6.25
  2 (control)   196.70     4.00     5.75
  2 (control)   206.45     4.00     2.25
  1 (profile)   212.70     4.00     3.50
  0 (direct)    220.20     4.00     6.50
  2 (control)   230.70     4.00     3.00
  1 (profile)   237.70     4.00     5.50
  1 (profile)   247.20     4.00     4.50
  0 (direct)    255.70     4.00     5.00
  0 (direct)    264.70     4.00     3.00
  0 (direct)    271.70     4.00     6.25
  2 (control)   281.95     4.00     6.50
  1 (profile)   292.45     4.00     2.00
  2 (control)   298.45     4.00     1.25
  1 (profile)   303.70     4.00     4.75
  1 (profile)   312.45     4.00     7.00
  1 (profile)   323.45     4.00     3.50
  2 (control)   330.95     4.00     1.75
  2 (control)   336.70     4.00     4.25
  1 (profile)   344.95     4.00     2.50
  0 (direct)    351.45     4.00     5.75
  2 (control)   361.20     4.00     0.00

