-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     1.75
  1 (profile)    14.95     4.00     3.50
  1 (profile)    22.45     4.00     6.75
  2 (control)    33.20     4.00     2.75
  2 (control)    39.95     4.00     5.75
  0 (direct)     49.70     4.00     3.50
  1 (profile)    57.20     4.00     7.00
  1 (profile)    68.20     4.00     1.00
  2 (control)    73.20     4.00     2.50
  2 (control)    79.70     4.00     1.50
  2 (control)    85.20     4.00     4.50
  0 (direct)     93.70     4.00     2.50
  1 (profile)   100.20     4.00     6.25
  1 (profile)   110.45     4.00     6.25
  1 (profile)   120.70     4.00     6.75
  2 (control)   131.45     4.00     3.75
  1 (profile)   139.20     4.00     5.00
  2 (control)   148.20     4.00     2.25
  2 (control)   154.45     4.00     4.25
  2 (control)   162.70     4.00     1.25
  1 (profile)   167.95     4.00     2.75
  0 (direct)    174.70     4.00     5.25
  0 (direct)    183.95     4.00     1.75
  0 (direct)    189.70     4.00     3.00
  1 (profile)   196.70     4.00     3.25
  0 (direct)    203.95     4.00     1.50
  2 (control)   209.45     4.00     5.25
  0 (direct)    218.70     4.00     5.00
  1 (profile)   227.70     4.00     5.50
  0 (direct)    237.20     4.00     2.25
  0 (direct)    243.45     4.00     3.75
  0 (direct)    251.20     4.00     4.25
  1 (profile)   259.45     4.00     5.50
  1 (profile)   268.95     4.00     3.00
  1 (profile)   275.95     4.00     6.00
  2 (control)   285.95     4.00     4.50
  0 (direct)    294.45     4.00     7.00
  1 (profile)   305.45     4.00     6.50
  2 (control)   315.95     4.00     1.25
  2 (control)   321.20     4.00     5.75
  0 (direct)    330.95     4.00     1.00
  0 (direct)    335.95     4.00     6.50
  2 (control)   346.45     4.00     2.00
  2 (control)   352.45     4.00     4.75
  0 (direct)    361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     2.75
  1 (profile)    15.95     4.00     1.50
  2 (control)    21.45     4.00     1.25
  2 (control)    26.70     4.00     3.75
  0 (direct)     34.45     4.00     1.75
  2 (control)    40.20     4.00     2.50
  1 (profile)    46.70     4.00     5.25
  0 (direct)     55.95     4.00     4.50
  1 (profile)    64.45     4.00     1.00
  2 (control)    69.45     4.00     5.50
  2 (control)    78.95     4.00     7.00
  0 (direct)     89.95     4.00     5.00
  0 (direct)     98.95     4.00     3.75
  1 (profile)   106.70     4.00     6.75
  1 (profile)   117.45     4.00     6.25
  2 (control)   127.70     4.00     5.50
  0 (direct)    137.20     4.00     1.25
  2 (control)   142.45     4.00     6.75
  2 (control)   153.20     4.00     4.25
  1 (profile)   161.45     4.00     3.50
  1 (profile)   168.95     4.00     7.00
  1 (profile)   179.95     4.00     2.25
  0 (direct)    186.20     4.00     3.00
  0 (direct)    193.20     4.00     6.00
  2 (control)   203.20     4.00     6.50
  0 (direct)    213.70     4.00     2.25
  1 (profile)   219.95     4.00     5.75
  2 (control)   229.70     4.00     2.50
  1 (profile)   236.20     4.00     5.25
  2 (control)   245.45     4.00     1.00
  1 (profile)   250.45     4.00     5.75
  0 (direct)    260.20     4.00     4.50
  2 (control)   268.70     4.00     5.00
  1 (profile)   277.70     4.00     3.25
  0 (direct)    284.95     4.00     2.00
  0 (direct)    290.95     4.00     6.50
  1 (profile)   301.45     4.00     4.75
  0 (direct)    310.20     4.00     3.50
  0 (direct)    317.70     4.00     6.25
  0 (direct)    327.95     4.00     3.00
  2 (control)   334.95     4.00     4.25
  2 (control)   343.20     4.00     2.75
  2 (control)   349.95     4.00     1.75
  1 (profile)   355.70     4.00     1.50
  0 (direct)    361.20     4.00     0.00

