-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     3.00
  1 (profile)    16.20     4.00     2.25
  1 (profile)    22.45     4.00     4.50
  1 (profile)    30.95     4.00     1.50
  2 (control)    36.45     4.00     4.25
  2 (control)    44.70     4.00     5.50
  1 (profile)    54.20     4.00     2.75
  0 (direct)     60.95     4.00     7.00
  0 (direct)     71.95     4.00     1.00
  2 (control)    76.95     4.00     2.25
  0 (direct)     83.20     4.00     5.25
  0 (direct)     92.45     4.00     6.00
  0 (direct)    102.45     4.00     4.75
  1 (profile)   111.20     4.00     1.75
  0 (direct)    116.95     4.00     6.75
  2 (control)   127.70     4.00     6.50
  2 (control)   138.20     4.00     6.50
  0 (direct)    148.70     4.00     4.50
  0 (direct)    157.20     4.00     1.75
  2 (control)   162.95     4.00     3.50
  0 (direct)    170.45     4.00     5.50
  1 (profile)   179.95     4.00     5.00
  0 (direct)    188.95     4.00     3.00
  2 (control)   195.95     4.00     1.50
  1 (profile)   201.45     4.00     6.25
  0 (direct)    211.70     4.00     6.75
  0 (direct)    222.45     4.00     2.50
  0 (direct)    228.95     4.00     7.00
  1 (profile)   239.95     4.00     3.25
  2 (control)   247.20     4.00     5.00
  1 (profile)   256.20     4.00     2.75
  1 (profile)   262.95     4.00     5.25
  2 (control)   272.20     4.00     1.25
  2 (control)   277.45     4.00     5.75
  2 (control)   287.20     4.00     3.50
  0 (direct)    294.70     4.00     3.75
  1 (profile)   302.45     4.00     2.00
  1 (profile)   308.45     4.00     2.50
  1 (profile)   314.95     4.00     1.00
  2 (control)   319.95     4.00     6.25
  0 (direct)    330.20     4.00     5.75
  2 (control)   339.95     4.00     3.75
  2 (control)   347.70     4.00     4.25
  1 (profile)   355.95     4.00     1.25
  1 (profile)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     1.00
  2 (control)    14.20     4.00     1.50
  0 (direct)     19.70     4.00     1.50
  1 (profile)    25.20     4.00     2.75
  1 (profile)    31.95     4.00     5.00
  2 (control)    40.95     4.00     2.25
  0 (direct)     47.20     4.00     3.00
  0 (direct)     54.20     4.00     2.50
  0 (direct)     60.70     4.00     6.25
  1 (profile)    70.95     4.00     5.00
  1 (profile)    79.95     4.00     2.00
  1 (profile)    85.95     4.00     1.75
  0 (direct)     91.70     4.00     4.50
  2 (control)   100.20     4.00     3.25
  0 (direct)    107.45     4.00     6.00
  0 (direct)    117.45     4.00     4.50
  0 (direct)    125.95     4.00     5.75
  2 (control)   135.70     4.00     3.50
  2 (control)   143.20     4.00     3.75
  2 (control)   150.95     4.00     2.25
  1 (profile)   157.20     4.00     1.75
  2 (control)   162.95     4.00     4.75
  0 (direct)    171.70     4.00     3.75
  1 (profile)   179.45     4.00     4.25
  0 (direct)    187.70     4.00     6.75
  2 (control)   198.45     4.00     7.00
  1 (profile)   209.45     4.00     3.00
  1 (profile)   216.45     4.00     1.25
  0 (direct)    221.70     4.00     7.00
  0 (direct)    232.70     4.00     3.50
  1 (profile)   240.20     4.00     4.25
  2 (control)   248.45     4.00     1.00
  0 (direct)    253.45     4.00     5.50
  2 (control)   262.95     4.00     5.25
  2 (control)   272.20     4.00     6.50
  1 (profile)   282.70     4.00     5.75
  2 (control)   292.45     4.00     6.25
  2 (control)   302.70     4.00     5.50
  1 (profile)   312.20     4.00     6.50
  2 (control)   322.70     4.00     2.75
  1 (profile)   329.45     4.00     2.50
  0 (direct)    335.95     4.00     1.25
  1 (profile)   341.20     4.00     5.25
  1 (profile)   350.45     4.00     6.75
  0 (direct)    361.20     4.00     0.00

