-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     5.25
  0 (direct)     18.45     4.00     3.75
  2 (control)    26.20     4.00     1.25
  0 (direct)     31.45     4.00     1.25
  0 (direct)     36.70     4.00     5.25
  1 (profile)    45.95     4.00     1.75
  2 (control)    51.70     4.00     3.50
  1 (profile)    59.20     4.00     5.50
  1 (profile)    68.70     4.00     2.25
  0 (direct)     74.95     4.00     4.50
  0 (direct)     83.45     4.00     5.75
  1 (profile)    93.20     4.00     1.75
  2 (control)    98.95     4.00     3.75
  1 (profile)   106.70     4.00     5.00
  0 (direct)    115.70     4.00     6.00
  1 (profile)   125.70     4.00     2.75
  0 (direct)    132.45     4.00     3.00
  0 (direct)    139.45     4.00     1.50
  1 (profile)   144.95     4.00     6.75
  0 (direct)    155.70     4.00     3.25
  2 (control)   162.95     4.00     6.50
  2 (control)   173.45     4.00     4.50
  2 (control)   181.95     4.00     6.50
  1 (profile)   192.45     4.00     4.75
  2 (control)   201.20     4.00     1.00
  0 (direct)    206.20     4.00     1.50
  1 (profile)   211.70     4.00     2.50
  0 (direct)    218.20     4.00     3.00
  1 (profile)   225.20     4.00     2.00
  1 (profile)   231.20     4.00     5.75
  2 (control)   240.95     4.00     5.50
  0 (direct)    250.45     4.00     4.25
  0 (direct)    258.70     4.00     6.25
  1 (profile)   268.95     4.00     7.00
  2 (control)   279.95     4.00     6.25
  2 (control)   290.20     4.00     2.50
  2 (control)   296.70     4.00     5.00
  1 (profile)   305.70     4.00     1.00
  1 (profile)   310.70     4.00     2.75
  2 (control)   317.45     4.00     2.25
  2 (control)   323.70     4.00     4.25
  0 (direct)    331.95     4.00     7.00
  0 (direct)    342.95     4.00     3.50
  2 (control)   350.45     4.00     6.75
  2 (control)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     1.00
  0 (direct)     14.20     4.00     4.50
  2 (control)    22.70     4.00     2.25
  2 (control)    28.95     4.00     3.50
  1 (profile)    36.45     4.00     6.75
  1 (profile)    47.20     4.00     5.50
  0 (direct)     56.70     4.00     5.25
  2 (control)    65.95     4.00     5.25
  0 (direct)     75.20     4.00     7.00
  2 (control)    86.20     4.00     3.00
  2 (control)    93.20     4.00     3.25
  2 (control)   100.45     4.00     3.50
  0 (direct)    107.95     4.00     5.50
  0 (direct)    117.45     4.00     2.50
  1 (profile)   123.95     4.00     2.00
  0 (direct)    129.95     4.00     2.75
  1 (profile)   136.70     4.00     6.25
  2 (control)   146.95     4.00     2.25
  0 (direct)    153.20     4.00     2.75
  2 (control)   159.95     4.00     6.50
  0 (direct)    170.45     4.00     5.75
  0 (direct)    180.20     4.00     1.00
  0 (direct)    185.20     4.00     6.25
  1 (profile)   195.45     4.00     5.00
  2 (control)   204.45     4.00     1.25
  2 (control)   209.70     4.00     5.75
  1 (profile)   219.45     4.00     4.50
  2 (control)   227.95     4.00     7.00
  1 (profile)   238.95     4.00     2.50
  1 (profile)   245.45     4.00     4.75
  0 (direct)    254.20     4.00     4.25
  1 (profile)   262.45     4.00     6.50
  2 (control)   272.95     4.00     3.00
  0 (direct)    279.95     4.00     1.50
  0 (direct)    285.45     4.00     1.75
  0 (direct)    291.20     4.00     6.75
  1 (profile)   301.95     4.00     1.75
  2 (control)   307.70     4.00     1.50
  1 (profile)   313.20     4.00     3.75
  2 (control)   320.95     4.00     5.00
  1 (profile)   329.95     4.00     6.00
  0 (direct)    339.95     4.00     3.75
  2 (control)   347.70     4.00     4.25
  1 (profile)   355.95     4.00     1.25
  1 (profile)   361.20     4.00     0.00

