-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     5.75
  2 (control)    18.95     4.00     2.25
  1 (profile)    25.20     4.00     1.75
  0 (direct)     30.95     4.00     1.25
  2 (control)    36.20     4.00     3.00
  2 (control)    43.20     4.00     2.50
  2 (control)    49.70     4.00     7.00
  1 (profile)    60.70     4.00     4.25
  1 (profile)    68.95     4.00     6.50
  1 (profile)    79.45     4.00     6.75
  0 (direct)     90.20     4.00     3.00
  0 (direct)     97.20     4.00     2.75
  1 (profile)   103.95     4.00     3.25
  2 (control)   111.20     4.00     6.75
  1 (profile)   121.95     4.00     5.50
  0 (direct)    131.45     4.00     7.00
  0 (direct)    142.45     4.00     6.25
  2 (control)   152.70     4.00     3.50
  0 (direct)    160.20     4.00     3.75
  2 (control)   167.95     4.00     1.50
  0 (direct)    173.45     4.00     3.75
  1 (profile)   181.20     4.00     5.75
  0 (direct)    190.95     4.00     1.00
  2 (control)   195.95     4.00     4.25
  0 (direct)    204.20     4.00     6.00
  2 (control)   214.20     4.00     2.75
  1 (profile)   220.95     4.00     5.00
  2 (control)   229.95     4.00     2.25
  2 (control)   236.20     4.00     5.25
  0 (direct)    245.45     4.00     1.00
  2 (control)   250.45     4.00     4.75
  2 (control)   259.20     4.00     3.50
  1 (profile)   266.70     4.00     6.50
  1 (profile)   277.20     4.00     1.25
  0 (direct)    282.45     4.00     5.00
  0 (direct)    291.45     4.00     5.50
  0 (direct)    300.95     4.00     6.25
  1 (profile)   311.20     4.00     1.50
  1 (profile)   316.70     4.00     4.50
  2 (control)   325.20     4.00     1.75
  1 (profile)   330.95     4.00     2.00
  1 (profile)   336.95     4.00     2.50
  0 (direct)    343.45     4.00     5.25
  0 (direct)    352.70     4.00     4.50
  2 (control)   361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     1.75
  0 (direct)     14.95     4.00     3.50
  2 (control)    22.45     4.00     2.00
  2 (control)    28.45     4.00     6.00
  1 (profile)    38.45     4.00     7.00
  2 (control)    49.45     4.00     7.00
  0 (direct)     60.45     4.00     1.50
  1 (profile)    65.95     4.00     5.25
  1 (profile)    75.20     4.00     2.75
  2 (control)    81.95     4.00     5.50
  0 (direct)     91.45     4.00     5.25
  1 (profile)   100.70     4.00     5.75
  1 (profile)   110.45     4.00     2.50
  2 (control)   116.95     4.00     2.25
  1 (profile)   123.20     4.00     5.00
  1 (profile)   132.20     4.00     3.25
  2 (control)   139.45     4.00     1.75
  1 (profile)   145.20     4.00     4.50
  0 (direct)    153.70     4.00     1.00
  0 (direct)    158.70     4.00     2.25
  2 (control)   164.95     4.00     5.75
  0 (direct)    174.70     4.00     3.00
  0 (direct)    181.70     4.00     3.50
  0 (direct)    189.20     4.00     1.00
  1 (profile)   194.20     4.00     6.25
  0 (direct)    204.45     4.00     6.75
  2 (control)   215.20     4.00     1.25
  1 (profile)   220.45     4.00     5.00
  2 (control)   229.45     4.00     6.75
  2 (control)   240.20     4.00     5.50
  1 (profile)   249.70     4.00     3.75
  0 (direct)    257.45     4.00     3.75
  1 (profile)   265.20     4.00     4.25
  2 (control)   273.45     4.00     4.25
  2 (control)   281.70     4.00     4.50
  0 (direct)    290.20     4.00     6.25
  1 (profile)   300.45     4.00     1.25
  1 (profile)   305.70     4.00     4.75
  2 (control)   314.45     4.00     6.50
  0 (direct)    324.95     4.00     1.50
  0 (direct)    330.45     4.00     2.75
  2 (control)   337.20     4.00     6.50
  2 (control)   347.70     4.00     2.50
  1 (profile)   354.20     4.00     3.00
  0 (direct)    361.20     4.00     0.00

