-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (profile)     9.20     4.00     1.00
  2 (control)    14.20     4.00     1.50
  1 (profile)    19.70     4.00     3.75
  0 (direct)     27.45     4.00     3.50
  1 (profile)    34.95     4.00     3.25
  0 (direct)     42.20     4.00     6.50
  2 (control)    52.70     4.00     2.50
  1 (profile)    59.20     4.00     3.00
  2 (control)    66.20     4.00     5.25
  0 (direct)     75.45     4.00     4.25
  2 (control)    83.70     4.00     2.25
  0 (direct)     89.95     4.00     3.00
  1 (profile)    96.95     4.00     1.75
  1 (profile)   102.70     4.00     5.00
  2 (control)   111.70     4.00     7.00
  1 (profile)   122.70     4.00     7.00
  2 (control)   133.70     4.00     5.50
  1 (profile)   143.20     4.00     5.75
  0 (direct)    152.95     4.00     2.25
  0 (direct)    159.20     4.00     5.50
  1 (profile)   168.70     4.00     6.75
  0 (direct)    179.45     4.00     1.25
  2 (control)   184.70     4.00     5.75
  0 (direct)    194.45     4.00     4.25
  1 (profile)   202.70     4.00     4.50
  2 (control)   211.20     4.00     1.25
  2 (control)   216.45     4.00     6.00
  0 (direct)    226.45     4.00     1.75
  1 (profile)   232.20     4.00     2.75
  0 (direct)    238.95     4.00     4.50
  2 (control)   247.45     4.00     4.75
  1 (profile)   256.20     4.00     3.75
  0 (direct)    263.95     4.00     2.00
  0 (direct)    269.95     4.00     1.50
  1 (profile)   275.45     4.00     5.00
  2 (control)   284.45     4.00     3.50
  0 (direct)    291.95     4.00     6.25
  2 (control)   302.20     4.00     2.50
  2 (control)   308.70     4.00     6.50
  2 (control)   319.20     4.00     6.25
  1 (profile)   329.45     4.00     6.75
  0 (direct)    340.20     4.00     5.25
  1 (profile)   349.45     4.00     2.75
  2 (control)   356.20     4.00     1.00
  0 (direct)    361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     4.50
  0 (direct)     17.70     4.00     1.00
  1 (profile)    22.70     4.00     1.75
  1 (profile)    28.45     4.00     6.75
  2 (control)    39.20     4.00     2.25
  2 (control)    45.45     4.00     5.50
  1 (profile)    54.95     4.00     3.00
  2 (control)    61.95     4.00     4.50
  0 (direct)     70.45     4.00     1.25
  0 (direct)     75.70     4.00     5.00
  0 (direct)     84.70     4.00     5.50
  2 (control)    94.20     4.00     6.50
  0 (direct)    104.70     4.00     3.50
  1 (profile)   112.20     4.00     7.00
  0 (direct)    123.20     4.00     6.00
  2 (control)   133.20     4.00     1.25
  2 (control)   138.45     4.00     1.00
  2 (control)   143.45     4.00     3.50
  0 (direct)    150.95     4.00     1.50
  1 (profile)   156.45     4.00     6.75
  2 (control)   167.20     4.00     2.00
  1 (profile)   173.20     4.00     5.25
  1 (profile)   182.45     4.00     5.00
  0 (direct)    191.45     4.00     4.75
  2 (control)   200.20     4.00     6.25
  1 (profile)   210.45     4.00     2.50
  0 (direct)    216.95     4.00     4.25
  1 (profile)   225.20     4.00     2.25
  1 (profile)   231.45     4.00     3.75
  0 (direct)    239.20     4.00     7.00
  2 (control)   250.20     4.00     6.25
  2 (control)   260.45     4.00     5.25
  0 (direct)    269.70     4.00     2.75
  1 (profile)   276.45     4.00     1.50
  2 (control)   281.95     4.00     5.75
  0 (direct)    291.70     4.00     2.50
  1 (profile)   298.20     4.00     4.25
  2 (control)   306.45     4.00     1.75
  2 (control)   312.20     4.00     6.50
  1 (profile)   322.70     4.00     3.00
  0 (direct)    329.70     4.00     3.75
  1 (profile)   337.45     4.00     5.75
  0 (direct)    347.20     4.00     3.25
  1 (profile)   354.45     4.00     2.75
  2 (control)   361.20     4.00     0.00

